method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,1
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,2
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,3
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,4
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,5
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,6
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,7
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,8
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,9
AEL,OpenSSH,2,0.9966,0.9780,0.9872,0.5380,10
