method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,1
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,2
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,3
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,4
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,5
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,6
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,7
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,8
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,9
AEL,Thunderbird,2,1.0000,0.9983,0.9991,0.9410,10
