method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,1
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,2
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,3
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,4
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,5
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,6
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,7
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,8
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,9
Drain,Android,2,0.9985,0.9933,0.9959,0.9110,10
