method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Drain,Android,1,0:00:00.343222,90.5078125,1
Drain,Android,1,0:00:00.346254,90.5078125,2
Drain,Android,1,0:00:00.346079,90.234375,3
Drain,Android,1,0:00:00.346081,90.3984375,4
Drain,Android,1,0:00:00.347538,90.671875,5
Drain,Android,1,0:00:00.343431,90.32421875,6
Drain,Android,1,0:00:00.339724,90.39453125,7
Drain,Android,1,0:00:00.348628,90.37890625,8
Drain,Android,1,0:00:00.373543,90.53125,9
Drain,Android,1,0:00:00.344589,90.23828125,10
Drain,Android,2,0:00:00.464337,91.41796875,1
Drain,Android,2,0:00:00.460190,91.3203125,2
Drain,Android,2,0:00:00.455154,90.93359375,3
Drain,Android,2,0:00:00.464455,91.0,4
Drain,Android,2,0:00:00.473254,91.01953125,5
Drain,Android,2,0:00:00.460886,91.21875,6
Drain,Android,2,0:00:00.462090,91.00390625,7
Drain,Android,2,0:00:00.460252,90.921875,8
Drain,Android,2,0:00:00.460503,90.96875,9
Drain,Android,2,0:00:00.457111,91.0234375,10
Drain,Android,4,0:00:01.308763,94.7265625,1
Drain,Android,4,0:00:01.308842,94.28125,2
Drain,Android,4,0:00:01.300838,94.52734375,3
Drain,Android,4,0:00:01.310913,94.77734375,4
Drain,Android,4,0:00:01.321961,94.35546875,5
Drain,Android,4,0:00:01.310876,94.4609375,6
Drain,Android,4,0:00:01.303128,94.30078125,7
Drain,Android,4,0:00:01.306905,94.53515625,8
Drain,Android,4,0:00:01.298660,94.53125,9
Drain,Android,4,0:00:01.296310,94.640625,10
Drain,Android,10,0:00:03.044054,102.29296875,1
Drain,Android,10,0:00:03.028200,102.2265625,2
Drain,Android,10,0:00:03.049348,102.40234375,3
Drain,Android,10,0:00:03.037616,102.40234375,4
Drain,Android,10,0:00:03.040612,102.2109375,5
Drain,Android,10,0:00:03.053444,102.14453125,6
Drain,Android,10,0:00:03.067721,102.2734375,7
Drain,Android,10,0:00:03.062145,102.3515625,8
Drain,Android,10,0:00:03.072979,102.625,9
Drain,Android,10,0:00:03.062285,102.67578125,10
Drain,Android,20,0:00:06.050036,115.69140625,1
Drain,Android,20,0:00:06.059975,115.85546875,2
Drain,Android,20,0:00:06.085363,115.6953125,3
Drain,Android,20,0:00:06.091543,115.76953125,4
Drain,Android,20,0:00:06.076852,115.79296875,5
Drain,Android,20,0:00:06.039593,116.10546875,6
Drain,Android,20,0:00:06.043233,115.87890625,7
Drain,Android,20,0:00:06.071395,115.7421875,8
Drain,Android,20,0:00:06.062224,115.7578125,9
Drain,Android,20,0:00:06.071885,115.99609375,10
