method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,1
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,2
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,3
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,4
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,5
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,6
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,7
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,8
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,9
Drain,BGL,2,0.9992,1.0000,0.9996,0.9625,10
