method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,1
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,2
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,3
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,4
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,5
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,6
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,7
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,8
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,9
Drain,HDFS,2,1.0000,1.0000,1.0000,0.9975,10
