method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,1
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,2
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,3
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,4
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,5
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,6
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,7
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,8
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,9
Drain,OpenSSH,2,0.9984,1.0000,0.9992,0.7875,10
