method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Drain,OpenSSH,1,0:00:00.212496,88.89453125,1
Drain,OpenSSH,1,0:00:00.214585,88.75390625,2
Drain,OpenSSH,1,0:00:00.212194,88.78515625,3
Drain,OpenSSH,1,0:00:00.208342,88.9609375,4
Drain,OpenSSH,1,0:00:00.213273,89.03515625,5
Drain,OpenSSH,1,0:00:00.213541,88.5859375,6
Drain,OpenSSH,1,0:00:00.213721,88.94140625,7
Drain,OpenSSH,1,0:00:00.214028,88.64453125,8
Drain,OpenSSH,1,0:00:00.211951,88.5859375,9
Drain,OpenSSH,1,0:00:00.216232,88.75,10
Drain,OpenSSH,2,0:00:00.384780,89.7578125,1
Drain,OpenSSH,2,0:00:00.393850,89.86328125,2
Drain,OpenSSH,2,0:00:00.375426,89.91015625,3
Drain,OpenSSH,2,0:00:00.381767,89.8359375,4
Drain,OpenSSH,2,0:00:00.376902,89.84375,5
Drain,OpenSSH,2,0:00:00.377280,89.4609375,6
Drain,OpenSSH,2,0:00:00.380187,89.82421875,7
Drain,OpenSSH,2,0:00:00.389352,89.8125,8
Drain,OpenSSH,2,0:00:00.379814,89.80859375,9
Drain,OpenSSH,2,0:00:00.376830,89.62109375,10
Drain,OpenSSH,4,0:00:00.717643,91.78125,1
Drain,OpenSSH,4,0:00:00.718856,91.87109375,2
Drain,OpenSSH,4,0:00:00.704428,92.0546875,3
Drain,OpenSSH,4,0:00:00.712805,91.71875,4
Drain,OpenSSH,4,0:00:00.722877,92.0,5
Drain,OpenSSH,4,0:00:00.714454,91.9375,6
Drain,OpenSSH,4,0:00:00.711359,91.9453125,7
Drain,OpenSSH,4,0:00:00.711836,91.75390625,8
Drain,OpenSSH,4,0:00:00.714786,91.796875,9
Drain,OpenSSH,4,0:00:00.717409,91.90234375,10
Drain,OpenSSH,10,0:00:01.707247,98.375,1
Drain,OpenSSH,10,0:00:01.689452,98.046875,2
Drain,OpenSSH,10,0:00:01.698268,97.9140625,3
Drain,OpenSSH,10,0:00:01.720052,97.33203125,4
Drain,OpenSSH,10,0:00:01.720480,97.66796875,5
Drain,OpenSSH,10,0:00:01.706004,98.4140625,6
Drain,OpenSSH,10,0:00:01.699005,97.18359375,7
Drain,OpenSSH,10,0:00:01.703088,97.71875,8
