method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Drain,Thunderbird,1,0:00:00.216074,89.6328125,1
Drain,Thunderbird,1,0:00:00.207465,89.46484375,2
Drain,Thunderbird,1,0:00:00.198333,89.6640625,3
Drain,Thunderbird,1,0:00:00.205996,89.41796875,4
Drain,Thunderbird,1,0:00:00.198881,89.75390625,5
Drain,Thunderbird,1,0:00:00.223168,89.25390625,6
Drain,Thunderbird,1,0:00:00.204856,89.34765625,7
Drain,Thunderbird,1,0:00:00.211108,89.46484375,8
Drain,Thunderbird,1,0:00:00.206253,89.23828125,9
Drain,Thunderbird,1,0:00:00.206424,89.53515625,10
Drain,Thunderbird,2,0:00:00.387136,91.14453125,1
Drain,Thunderbird,2,0:00:00.375279,91.1953125,2
Drain,Thunderbird,2,0:00:00.362421,90.94140625,3
Drain,Thunderbird,2,0:00:00.361103,91.0546875,4
Drain,Thunderbird,2,0:00:00.365301,91.0,5
Drain,Thunderbird,2,0:00:00.370946,90.91796875,6
Drain,Thunderbird,2,0:00:00.362948,90.7890625,7
Drain,Thunderbird,2,0:00:00.357681,90.62109375,8
Drain,Thunderbird,2,0:00:00.366924,90.92578125,9
Drain,Thunderbird,2,0:00:00.354232,90.92578125,10
Drain,Thunderbird,4,0:00:00.690893,93.15234375,1
Drain,Thunderbird,4,0:00:00.678660,93.671875,2
Drain,Thunderbird,4,0:00:00.683351,93.08203125,3
Drain,Thunderbird,4,0:00:00.679916,93.0,4
Drain,Thunderbird,4,0:00:00.677634,93.3125,5
Drain,Thunderbird,4,0:00:00.680793,93.12109375,6
Drain,Thunderbird,4,0:00:00.691453,93.328125,7
Drain,Thunderbird,4,0:00:00.689244,92.93359375,8
Drain,Thunderbird,4,0:00:00.679221,93.203125,9
Drain,Thunderbird,4,0:00:00.686874,93.48046875,10
Drain,Thunderbird,10,0:00:13.918211,99.875,1
Drain,Thunderbird,10,0:00:13.956435,100.0078125,2
Drain,Thunderbird,10,0:00:14.003879,100.36328125,3
Drain,Thunderbird,10,0:00:13.932914,100.08984375,4
Drain,Thunderbird,10,0:00:13.973861,100.00390625,5
Drain,Thunderbird,10,0:00:14.862525,99.97265625,6
Drain,Thunderbird,10,0:00:13.994271,99.984375,7
Drain,Thunderbird,10,0:00:14.027540,100.27734375,8
Drain,Thunderbird,10,0:00:13.973983,100.18359375,9
Drain,Thunderbird,10,0:00:14.021717,100.06640625,10
Drain,Thunderbird,20,0:00:19.874866,113.69140625,1
Drain,Thunderbird,20,0:00:19.839278,113.9921875,2
Drain,Thunderbird,20,0:00:19.833368,114.50390625,3
Drain,Thunderbird,20,0:00:19.818741,114.37890625,4
Drain,Thunderbird,20,0:00:19.801948,113.90234375,5
Drain,Thunderbird,20,0:00:19.930645,113.9609375,6
Drain,Thunderbird,20,0:00:19.923473,114.046875,7
Drain,Thunderbird,20,0:00:19.823704,114.3984375,8
Drain,Thunderbird,20,0:00:19.896669,113.90234375,9
Drain,Thunderbird,20,0:00:19.996644,113.76953125,10
Drain,Thunderbird,50,0:00:45.435187,152.94921875,1
Drain,Thunderbird,50,0:00:45.429136,152.61328125,2
Drain,Thunderbird,50,0:00:45.626549,152.7890625,3
Drain,Thunderbird,50,0:00:45.535893,152.75390625,4
Drain,Thunderbird,50,0:00:45.846690,152.546875,5
Drain,Thunderbird,50,0:00:45.811897,152.8125,6
Drain,Thunderbird,50,0:00:45.687228,152.8046875,7
Drain,Thunderbird,50,0:00:45.367556,152.60546875,8
Drain,Thunderbird,50,0:00:45.397517,153.0703125,9
Drain,Thunderbird,50,0:00:45.453772,152.8046875,10
Drain,Thunderbird,100,0:00:53.875681,219.72265625,1
Drain,Thunderbird,100,0:00:53.710624,219.5859375,2
Drain,Thunderbird,100,0:00:53.799521,219.3671875,3
Drain,Thunderbird,100,0:00:53.600152,219.70703125,4
Drain,Thunderbird,100,0:00:54.029232,219.58203125,5
Drain,Thunderbird,100,0:00:53.766316,219.3671875,6
Drain,Thunderbird,100,0:00:53.822234,219.33984375,7
Drain,Thunderbird,100,0:00:53.695119,219.76953125,8
Drain,Thunderbird,100,0:00:53.740441,219.56640625,9
Drain,Thunderbird,100,0:00:53.793679,220.24609375,10
Drain,Thunderbird,200,0:01:09.933814,358.1328125,1
