method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Drain,Android,1,0:00:00.473870,6.563667,1
Drain,Android,1,0:00:00.472799,6.563736,2
Drain,Android,1,0:00:00.467397,6.563734,3
Drain,Android,1,0:00:00.470165,6.563737,4
Drain,Android,1,0:00:00.467967,6.563803,5
Drain,Android,1,0:00:00.472277,6.563745,6
Drain,Android,1,0:00:00.466251,6.563793,7
Drain,Android,1,0:00:00.459163,6.563726,8
Drain,Android,1,0:00:00.469193,6.563659,9
Drain,Android,1,0:00:00.474291,6.563745,10
Drain,Android,2,0:00:00.756864,9.099506,1
Drain,Android,2,0:00:00.757291,9.099575,2
Drain,Android,2,0:00:00.740797,9.099567,3
Drain,Android,2,0:00:00.756080,9.099575,4
Drain,Android,2,0:00:00.757306,9.099634,5
Drain,Android,2,0:00:00.742859,9.099634,6
Drain,Android,2,0:00:00.748313,9.099634,7
Drain,Android,2,0:00:00.748013,9.099634,8
Drain,Android,2,0:00:00.738164,9.099634,9
Drain,Android,2,0:00:00.760014,9.099634,10
Drain,Android,4,0:00:01.202471,11.991474,1
Drain,Android,4,0:00:01.221674,11.991357,2
Drain,Android,4,0:00:01.211440,11.991474,3
Drain,Android,4,0:00:01.232333,11.991474,4
Drain,Android,4,0:00:01.225297,11.991415,5
Drain,Android,4,0:00:01.203576,11.991474,6
Drain,Android,4,0:00:01.208437,11.991346,7
Drain,Android,4,0:00:01.216118,11.991474,8
Drain,Android,4,0:00:01.188025,11.991407,9
Drain,Android,4,0:00:01.200100,11.991405,10
Drain,Android,10,0:00:03.257949,20.948896,1
Drain,Android,10,0:00:03.279850,20.898229,2
Drain,Android,10,0:00:03.268564,20.76877,3
Drain,Android,10,0:00:03.313817,20.699463,4
Drain,Android,10,0:00:03.265362,20.744131,5
Drain,Android,10,0:00:03.317114,21.004561,6
Drain,Android,10,0:00:03.306995,20.585854,7
Drain,Android,10,0:00:03.309376,20.798945,8
Drain,Android,10,0:00:03.276778,20.881307,9
Drain,Android,10,0:00:03.305028,20.678167,10
Drain,Android,20,0:00:07.710708,33.576774,1
Drain,Android,20,0:00:07.565847,34.138792,2
Drain,Android,20,0:00:07.768769,33.875883,3
