method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,1
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,2
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,3
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,4
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,5
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,6
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,7
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,8
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,9
IPLoM,BGL,2,0.9982,1.0000,0.9991,0.9390,10
