method,dataset,log_size,elapsed_time,peak_memory,iteration_no
IPLoM,HDFS,1,0:00:00.158175,88.78125,1
IPLoM,HDFS,1,0:00:00.164850,89.234375,2
IPLoM,HDFS,1,0:00:00.159971,88.81640625,3
IPLoM,HDFS,1,0:00:00.160067,88.7421875,4
IPLoM,HDFS,1,0:00:00.162633,88.79296875,5
IPLoM,HDFS,1,0:00:00.156198,89.12890625,6
IPLoM,HDFS,1,0:00:00.157970,88.75,7
IPLoM,HDFS,1,0:00:00.158220,88.9375,8
IPLoM,HDFS,1,0:00:00.159255,88.79296875,9
IPLoM,HDFS,1,0:00:00.156785,89.09375,10
IPLoM,HDFS,2,0:00:00.293691,90.1796875,1
IPLoM,HDFS,2,0:00:00.293400,89.953125,2
IPLoM,HDFS,2,0:00:00.280751,90.23828125,3
IPLoM,HDFS,2,0:00:00.286893,90.44921875,4
IPLoM,HDFS,2,0:00:00.287554,90.03125,5
IPLoM,HDFS,2,0:00:00.289101,89.78125,6
IPLoM,HDFS,2,0:00:00.292504,90.078125,7
IPLoM,HDFS,2,0:00:00.289884,90.17578125,8
IPLoM,HDFS,2,0:00:00.290883,89.9296875,9
IPLoM,HDFS,2,0:00:00.293039,90.04296875,10
IPLoM,HDFS,4,0:00:00.540058,92.7890625,1
IPLoM,HDFS,4,0:00:00.541704,93.0390625,2
IPLoM,HDFS,4,0:00:00.545456,92.73046875,3
IPLoM,HDFS,4,0:00:00.540614,92.84375,4
IPLoM,HDFS,4,0:00:00.542015,92.7109375,5
IPLoM,HDFS,4,0:00:00.542812,92.55859375,6
IPLoM,HDFS,4,0:00:00.543483,93.05859375,7
IPLoM,HDFS,4,0:00:00.549868,92.98046875,8
IPLoM,HDFS,4,0:00:00.544760,92.71484375,9
IPLoM,HDFS,4,0:00:00.537296,92.625,10
IPLoM,HDFS,10,0:00:01.371756,100.9921875,1
IPLoM,HDFS,10,0:00:01.377899,101.1953125,2
IPLoM,HDFS,10,0:00:01.382253,101.3203125,3
IPLoM,HDFS,10,0:00:01.386502,101.140625,4
IPLoM,HDFS,10,0:00:01.382898,101.01171875,5
IPLoM,HDFS,10,0:00:01.383154,100.87890625,6
IPLoM,HDFS,10,0:00:01.367773,100.859375,7
IPLoM,HDFS,10,0:00:01.368242,100.91015625,8
IPLoM,HDFS,10,0:00:01.372507,100.99609375,9
IPLoM,HDFS,10,0:00:01.362591,100.73828125,10
IPLoM,HDFS,20,0:00:02.727780,114.9765625,1
IPLoM,HDFS,20,0:00:02.728858,115.03515625,2
IPLoM,HDFS,20,0:00:02.715577,115.1328125,3
IPLoM,HDFS,20,0:00:02.729205,115.38671875,4
IPLoM,HDFS,20,0:00:02.782845,114.9921875,5
IPLoM,HDFS,20,0:00:02.729469,115.36328125,6
IPLoM,HDFS,20,0:00:02.770673,115.04296875,7
IPLoM,HDFS,20,0:00:02.729876,114.99609375,8
IPLoM,HDFS,20,0:00:02.736527,115.32421875,9
IPLoM,HDFS,20,0:00:02.698657,115.1328125,10
IPLoM,HDFS,50,0:00:06.892309,156.46875,1
IPLoM,HDFS,50,0:00:06.822289,156.15234375,2
IPLoM,HDFS,50,0:00:06.817332,155.85546875,3
IPLoM,HDFS,50,0:00:06.874188,156.65234375,4
IPLoM,HDFS,50,0:00:06.838091,155.78125,5
IPLoM,HDFS,50,0:00:06.850615,156.89453125,6
IPLoM,HDFS,50,0:00:06.840624,155.58203125,7
IPLoM,HDFS,50,0:00:06.887872,155.5078125,8
IPLoM,HDFS,50,0:00:06.801655,155.84375,9
IPLoM,HDFS,50,0:00:06.911853,156.77734375,10
IPLoM,HDFS,100,0:00:13.783691,226.2109375,1
IPLoM,HDFS,100,0:00:13.987054,226.421875,2
IPLoM,HDFS,100,0:00:13.851257,226.2421875,3
IPLoM,HDFS,100,0:00:13.988288,226.16796875,4
IPLoM,HDFS,100,0:00:13.725935,226.453125,5
IPLoM,HDFS,100,0:00:13.812394,226.0234375,6
IPLoM,HDFS,100,0:00:13.857990,225.98828125,7
IPLoM,HDFS,100,0:00:13.745989,226.0078125,8
IPLoM,HDFS,100,0:00:13.904884,226.03515625,9
IPLoM,HDFS,100,0:00:13.897084,226.50390625,10
IPLoM,HDFS,200,0:00:28.015339,368.74609375,1
IPLoM,HDFS,200,0:00:27.863783,368.89453125,2
IPLoM,HDFS,200,0:00:27.993701,368.6484375,3
IPLoM,HDFS,200,0:00:28.030582,369.10546875,4
IPLoM,HDFS,200,0:00:28.025103,368.80859375,5
IPLoM,HDFS,200,0:00:28.082139,368.8984375,6
IPLoM,HDFS,200,0:00:28.197234,368.6171875,7
IPLoM,HDFS,200,0:00:27.993755,368.390625,8
IPLoM,HDFS,200,0:00:28.072375,368.73828125,9
IPLoM,HDFS,200,0:00:28.274883,368.90625,10
IPLoM,HDFS,300,0:00:42.328602,510.02734375,1
IPLoM,HDFS,300,0:00:42.522149,510.078125,2
IPLoM,HDFS,300,0:00:42.067347,510.078125,3
IPLoM,HDFS,300,0:00:42.516292,510.21875,4
IPLoM,HDFS,300,0:00:42.557736,510.5,5
IPLoM,HDFS,300,0:00:42.890342,510.4453125,6
IPLoM,HDFS,300,0:00:42.643026,510.7578125,7
IPLoM,HDFS,300,0:00:42.400473,510.35546875,8
IPLoM,HDFS,300,0:00:42.899187,510.16015625,9
IPLoM,HDFS,300,0:00:42.661211,510.44921875,10
IPLoM,HDFS,500,0:01:11.574232,793.06640625,1
IPLoM,HDFS,500,0:01:10.694099,793.3125,2
IPLoM,HDFS,500,0:01:11.988933,793.04296875,3
IPLoM,HDFS,500,0:01:11.695364,792.9296875,4
IPLoM,HDFS,500,0:01:10.497385,793.27734375,5
IPLoM,HDFS,500,0:01:12.056586,793.32421875,6
IPLoM,HDFS,500,0:01:11.370610,792.83203125,7
IPLoM,HDFS,500,0:01:11.224552,792.89453125,8
IPLoM,HDFS,500,0:01:10.913633,792.76953125,9
IPLoM,HDFS,500,0:01:10.716794,793.05859375,10
