method,dataset,log_size,elapsed_time,peak_memory,iteration_no
IPLoM,OpenSSH,1,0:00:00.174557,89.0625,1
IPLoM,OpenSSH,1,0:00:00.174131,89.1796875,2
IPLoM,OpenSSH,1,0:00:00.170247,89.16015625,3
IPLoM,OpenSSH,1,0:00:00.175948,88.890625,4
IPLoM,OpenSSH,1,0:00:00.175343,89.40234375,5
IPLoM,OpenSSH,1,0:00:00.166477,89.08984375,6
IPLoM,OpenSSH,1,0:00:00.172730,89.015625,7
IPLoM,OpenSSH,1,0:00:00.170489,89.17578125,8
IPLoM,OpenSSH,1,0:00:00.170899,89.16796875,9
IPLoM,OpenSSH,1,0:00:00.171175,89.22265625,10
IPLoM,OpenSSH,2,0:00:00.314107,90.578125,1
IPLoM,OpenSSH,2,0:00:00.311840,90.921875,2
IPLoM,OpenSSH,2,0:00:00.317226,90.48828125,3
IPLoM,OpenSSH,2,0:00:00.315743,90.79296875,4
IPLoM,OpenSSH,2,0:00:00.317671,90.61328125,5
IPLoM,OpenSSH,2,0:00:00.314769,90.609375,6
IPLoM,OpenSSH,2,0:00:00.309826,90.828125,7
IPLoM,OpenSSH,2,0:00:00.311695,90.62109375,8
IPLoM,OpenSSH,2,0:00:00.314773,90.5234375,9
IPLoM,OpenSSH,2,0:00:00.306502,90.73828125,10
IPLoM,OpenSSH,4,0:00:00.609087,93.68359375,1
IPLoM,OpenSSH,4,0:00:00.600258,93.828125,2
IPLoM,OpenSSH,4,0:00:00.603402,93.76171875,3
IPLoM,OpenSSH,4,0:00:00.607366,94.13671875,4
IPLoM,OpenSSH,4,0:00:00.615366,93.68359375,5
IPLoM,OpenSSH,4,0:00:00.606981,93.5546875,6
IPLoM,OpenSSH,4,0:00:00.599252,93.78515625,7
IPLoM,OpenSSH,4,0:00:00.599897,93.7890625,8
IPLoM,OpenSSH,4,0:00:00.614633,94.19921875,9
IPLoM,OpenSSH,4,0:00:00.605185,93.77734375,10
IPLoM,OpenSSH,10,0:00:01.472376,102.41015625,1
IPLoM,OpenSSH,10,0:00:01.488867,102.28515625,2
IPLoM,OpenSSH,10,0:00:01.497715,102.3984375,3
IPLoM,OpenSSH,10,0:00:01.496598,102.4453125,4
IPLoM,OpenSSH,10,0:00:01.491052,102.29296875,5
IPLoM,OpenSSH,10,0:00:01.493228,102.74609375,6
IPLoM,OpenSSH,10,0:00:01.478017,102.44140625,7
IPLoM,OpenSSH,10,0:00:01.484537,102.41796875,8
IPLoM,OpenSSH,10,0:00:01.476938,102.34765625,9
IPLoM,OpenSSH,10,0:00:01.480555,102.33203125,10
IPLoM,OpenSSH,20,0:00:02.973532,118.2890625,1
IPLoM,OpenSSH,20,0:00:02.983093,118.70703125,2
IPLoM,OpenSSH,20,0:00:02.977076,118.37890625,3
IPLoM,OpenSSH,20,0:00:02.988655,118.4296875,4
IPLoM,OpenSSH,20,0:00:03.006242,118.96484375,5
IPLoM,OpenSSH,20,0:00:02.978019,118.25,6
IPLoM,OpenSSH,20,0:00:02.956669,118.85546875,7
IPLoM,OpenSSH,20,0:00:02.985772,118.70703125,8
IPLoM,OpenSSH,20,0:00:02.950851,118.6484375,9
IPLoM,OpenSSH,20,0:00:02.998220,118.578125,10
IPLoM,OpenSSH,50,0:00:07.475899,164.7265625,1
IPLoM,OpenSSH,50,0:00:07.407960,164.6171875,2
IPLoM,OpenSSH,50,0:00:07.504976,164.7421875,3
IPLoM,OpenSSH,50,0:00:07.425208,164.87109375,4
IPLoM,OpenSSH,50,0:00:07.434076,165.15234375,5
IPLoM,OpenSSH,50,0:00:07.371853,164.484375,6
IPLoM,OpenSSH,50,0:00:07.397323,165.015625,7
IPLoM,OpenSSH,50,0:00:07.504560,164.55859375,8
IPLoM,OpenSSH,50,0:00:07.453139,165.03125,9
IPLoM,OpenSSH,50,0:00:07.467504,164.58203125,10
IPLoM,OpenSSH,100,0:00:15.231788,240.4140625,1
IPLoM,OpenSSH,100,0:00:14.920090,240.45703125,2
IPLoM,OpenSSH,100,0:00:15.108881,240.51171875,3
IPLoM,OpenSSH,100,0:00:14.799332,240.49609375,4
IPLoM,OpenSSH,100,0:00:14.894333,240.44921875,5
IPLoM,OpenSSH,100,0:00:15.038404,240.53125,6
IPLoM,OpenSSH,100,0:00:14.959851,240.3828125,7
IPLoM,OpenSSH,100,0:00:14.994321,240.83203125,8
IPLoM,OpenSSH,100,0:00:14.913657,240.51171875,9
IPLoM,OpenSSH,100,0:00:14.997125,240.55078125,10
IPLoM,OpenSSH,200,0:00:30.448365,392.0625,1
IPLoM,OpenSSH,200,0:00:30.428119,392.171875,2
IPLoM,OpenSSH,200,0:00:30.445496,392.50390625,3
IPLoM,OpenSSH,200,0:00:30.112702,392.16015625,4
IPLoM,OpenSSH,200,0:00:30.149902,395.61328125,5
IPLoM,OpenSSH,200,0:00:29.835934,391.890625,6
IPLoM,OpenSSH,200,0:00:30.116122,395.83203125,7
IPLoM,OpenSSH,200,0:00:30.007027,392.12890625,8
IPLoM,OpenSSH,200,0:00:29.889889,392.125,9
IPLoM,OpenSSH,200,0:00:30.382326,392.0078125,10
IPLoM,OpenSSH,300,0:00:45.047371,545.42578125,1
IPLoM,OpenSSH,300,0:00:45.689371,545.5546875,2
IPLoM,OpenSSH,300,0:00:45.305444,545.25390625,3
IPLoM,OpenSSH,300,0:00:44.812237,545.265625,4
IPLoM,OpenSSH,300,0:00:44.941368,544.99609375,5
IPLoM,OpenSSH,300,0:00:45.683709,545.140625,6
IPLoM,OpenSSH,300,0:00:44.895235,545.234375,7
IPLoM,OpenSSH,300,0:00:45.582276,545.33984375,8
IPLoM,OpenSSH,300,0:00:45.595878,545.234375,9
IPLoM,OpenSSH,300,0:00:45.603465,545.52734375,10
IPLoM,OpenSSH,500,0:01:18.526262,853.390625,1
IPLoM,OpenSSH,500,0:01:18.714720,853.28515625,2
IPLoM,OpenSSH,500,0:01:18.316473,853.203125,3
IPLoM,OpenSSH,500,0:01:18.083647,853.18359375,4
IPLoM,OpenSSH,500,0:01:18.199974,853.1953125,5
IPLoM,OpenSSH,500,0:01:18.207887,853.11328125,6
IPLoM,OpenSSH,500,0:01:18.095360,853.55859375,7
IPLoM,OpenSSH,500,0:01:17.946067,853.36328125,8
IPLoM,OpenSSH,500,0:01:18.042344,853.26171875,9
IPLoM,OpenSSH,500,0:01:18.472354,853.19140625,10
