method,dataset,log_size,elapsed_time,peak_memory,iteration_no
IPLoM,Thunderbird,1,0:00:00.185038,89.83203125,1
IPLoM,Thunderbird,1,0:00:00.187080,89.88671875,2
IPLoM,Thunderbird,1,0:00:00.189158,89.90234375,3
IPLoM,Thunderbird,1,0:00:00.185222,89.6953125,4
IPLoM,Thunderbird,1,0:00:00.190144,90.0703125,5
IPLoM,Thunderbird,1,0:00:00.184779,89.890625,6
IPLoM,Thunderbird,1,0:00:00.188821,90.125,7
IPLoM,Thunderbird,1,0:00:00.188005,90.0390625,8
IPLoM,Thunderbird,1,0:00:00.189448,89.7109375,9
IPLoM,Thunderbird,1,0:00:00.188580,89.74609375,10
IPLoM,Thunderbird,2,0:00:00.330097,91.40234375,1
IPLoM,Thunderbird,2,0:00:00.326233,91.15625,2
IPLoM,Thunderbird,2,0:00:00.326973,91.3515625,3
IPLoM,Thunderbird,2,0:00:00.325359,91.76171875,4
IPLoM,Thunderbird,2,0:00:00.323733,91.28515625,5
IPLoM,Thunderbird,2,0:00:00.328033,91.51171875,6
IPLoM,Thunderbird,2,0:00:00.329234,91.2890625,7
IPLoM,Thunderbird,2,0:00:00.326943,91.40625,8
IPLoM,Thunderbird,2,0:00:00.328994,91.08984375,9
IPLoM,Thunderbird,2,0:00:00.331120,91.46875,10
IPLoM,Thunderbird,4,0:00:00.621704,94.88671875,1
IPLoM,Thunderbird,4,0:00:00.614285,95.08984375,2
IPLoM,Thunderbird,4,0:00:00.635940,94.6015625,3
IPLoM,Thunderbird,4,0:00:00.629961,95.2734375,4
IPLoM,Thunderbird,4,0:00:00.622068,95.01953125,5
IPLoM,Thunderbird,4,0:00:00.627811,95.1171875,6
IPLoM,Thunderbird,4,0:00:00.633206,94.8984375,7
IPLoM,Thunderbird,4,0:00:00.647075,94.7734375,8
IPLoM,Thunderbird,4,0:00:00.625913,94.9921875,9
IPLoM,Thunderbird,4,0:00:00.623583,94.89453125,10
IPLoM,Thunderbird,10,0:00:13.817359,104.875,1
IPLoM,Thunderbird,10,0:00:13.841063,104.875,2
IPLoM,Thunderbird,10,0:00:13.829018,104.51171875,3
IPLoM,Thunderbird,10,0:00:13.821663,104.84765625,4
IPLoM,Thunderbird,10,0:00:13.903644,105.0234375,5
IPLoM,Thunderbird,10,0:00:13.848261,104.88671875,6
IPLoM,Thunderbird,10,0:00:13.865205,104.62109375,7
IPLoM,Thunderbird,10,0:00:13.806939,104.8359375,8
IPLoM,Thunderbird,10,0:00:14.019902,104.5859375,9
IPLoM,Thunderbird,10,0:00:14.704382,104.91015625,10
IPLoM,Thunderbird,20,0:00:19.542677,122.515625,1
IPLoM,Thunderbird,20,0:00:19.465490,122.75390625,2
IPLoM,Thunderbird,20,0:00:19.604781,122.47265625,3
IPLoM,Thunderbird,20,0:00:19.532543,122.5859375,4
IPLoM,Thunderbird,20,0:00:19.658430,122.328125,5
IPLoM,Thunderbird,20,0:00:19.478222,123.0546875,6
IPLoM,Thunderbird,20,0:00:19.520616,122.58203125,7
IPLoM,Thunderbird,20,0:00:19.576466,123.06640625,8
IPLoM,Thunderbird,20,0:00:19.506636,122.796875,9
IPLoM,Thunderbird,20,0:00:19.507057,122.40234375,10
IPLoM,Thunderbird,50,0:00:44.532408,174.546875,1
IPLoM,Thunderbird,50,0:00:44.609787,174.34765625,2
IPLoM,Thunderbird,50,0:00:44.597162,174.15625,3
IPLoM,Thunderbird,50,0:00:44.444138,174.1640625,4
IPLoM,Thunderbird,50,0:00:44.790831,174.0078125,5
IPLoM,Thunderbird,50,0:00:44.551339,174.2421875,6
IPLoM,Thunderbird,50,0:00:44.437889,174.56640625,7
IPLoM,Thunderbird,50,0:00:44.604474,174.23046875,8
IPLoM,Thunderbird,50,0:00:44.450913,174.53125,9
IPLoM,Thunderbird,50,0:00:44.706954,174.52734375,10
IPLoM,Thunderbird,100,0:00:52.152128,263.51953125,1
IPLoM,Thunderbird,100,0:00:52.671071,263.20703125,2
IPLoM,Thunderbird,100,0:00:52.670800,263.0234375,3
IPLoM,Thunderbird,100,0:00:52.511044,263.0703125,4
IPLoM,Thunderbird,100,0:00:52.139685,263.0,5
IPLoM,Thunderbird,100,0:00:52.118182,263.4140625,6
IPLoM,Thunderbird,100,0:00:52.773645,263.03125,7
IPLoM,Thunderbird,100,0:00:52.335820,262.859375,8
IPLoM,Thunderbird,100,0:00:52.214967,262.9921875,9
IPLoM,Thunderbird,100,0:00:52.254292,263.44921875,10
IPLoM,Thunderbird,200,0:01:07.072603,440.2265625,1
IPLoM,Thunderbird,200,0:01:06.774684,440.14453125,2
IPLoM,Thunderbird,200,0:01:06.795611,439.8125,3
IPLoM,Thunderbird,200,0:01:06.920255,440.05859375,4
IPLoM,Thunderbird,200,0:01:06.726260,440.15234375,5
IPLoM,Thunderbird,200,0:01:07.133814,439.93359375,6
IPLoM,Thunderbird,200,0:01:07.040139,440.1875,7
IPLoM,Thunderbird,200,0:01:06.987500,439.80859375,8
IPLoM,Thunderbird,200,0:01:06.644018,440.3515625,9
IPLoM,Thunderbird,200,0:01:07.071647,440.09765625,10
IPLoM,Thunderbird,300,0:01:23.235719,614.71875,1
IPLoM,Thunderbird,300,0:01:23.290455,615.35546875,2
IPLoM,Thunderbird,300,0:01:22.865446,615.234375,3
IPLoM,Thunderbird,300,0:01:24.700269,615.4765625,4
IPLoM,Thunderbird,300,0:01:23.663973,610.46875,5
IPLoM,Thunderbird,300,0:01:24.232652,614.79296875,6
IPLoM,Thunderbird,300,0:01:23.099901,610.1796875,7
IPLoM,Thunderbird,300,0:01:23.854651,614.984375,8
IPLoM,Thunderbird,300,0:01:23.689520,615.16015625,9
IPLoM,Thunderbird,300,0:01:23.143842,610.1953125,10
IPLoM,Thunderbird,500,0:01:52.703562,913.66796875,1
IPLoM,Thunderbird,500,0:01:51.449186,913.640625,2
IPLoM,Thunderbird,500,0:01:51.175576,913.81640625,3
