method,dataset,log_size,elapsed_time,peak_memory,iteration_no
IPLoM,Windows,1,0:00:00.178369,89.14453125,1
IPLoM,Windows,1,0:00:00.184105,89.12890625,2
IPLoM,Windows,1,0:00:00.181639,89.125,3
IPLoM,Windows,1,0:00:00.175260,88.91015625,4
IPLoM,Windows,1,0:00:00.182131,88.9765625,5
IPLoM,Windows,1,0:00:00.179825,89.12109375,6
IPLoM,Windows,1,0:00:00.188537,89.13671875,7
IPLoM,Windows,1,0:00:00.180792,89.578125,8
IPLoM,Windows,1,0:00:00.175014,89.02734375,9
IPLoM,Windows,1,0:00:00.181392,89.546875,10
IPLoM,Windows,2,0:00:00.317574,90.6015625,1
IPLoM,Windows,2,0:00:00.330610,90.671875,2
IPLoM,Windows,2,0:00:00.323434,90.71875,3
IPLoM,Windows,2,0:00:00.335122,90.375,4
IPLoM,Windows,2,0:00:00.322228,90.7109375,5
IPLoM,Windows,2,0:00:00.321996,90.54296875,6
IPLoM,Windows,2,0:00:00.327658,91.03125,7
IPLoM,Windows,2,0:00:00.321786,90.625,8
IPLoM,Windows,2,0:00:00.320172,90.92578125,9
IPLoM,Windows,2,0:00:00.325539,90.60546875,10
IPLoM,Windows,4,0:00:00.610677,93.80078125,1
IPLoM,Windows,4,0:00:00.611465,93.61328125,2
IPLoM,Windows,4,0:00:00.619844,93.7734375,3
IPLoM,Windows,4,0:00:00.609585,93.40234375,4
IPLoM,Windows,4,0:00:00.615797,93.609375,5
IPLoM,Windows,4,0:00:00.603984,93.61328125,6
IPLoM,Windows,4,0:00:00.610781,93.4609375,7
IPLoM,Windows,4,0:00:00.609137,93.47265625,8
IPLoM,Windows,4,0:00:00.618242,93.86328125,9
IPLoM,Windows,4,0:00:00.607562,93.64453125,10
IPLoM,Windows,10,0:00:01.507493,102.4140625,1
IPLoM,Windows,10,0:00:01.511257,102.02734375,2
IPLoM,Windows,10,0:00:01.505256,102.38671875,3
IPLoM,Windows,10,0:00:01.498867,102.4765625,4
IPLoM,Windows,10,0:00:01.505647,102.5859375,5
IPLoM,Windows,10,0:00:01.503305,102.4765625,6
IPLoM,Windows,10,0:00:01.493535,102.05859375,7
IPLoM,Windows,10,0:00:01.507862,102.125,8
IPLoM,Windows,10,0:00:01.525367,102.2265625,9
IPLoM,Windows,10,0:00:01.509482,102.16015625,10
IPLoM,Windows,20,0:00:03.009304,117.86328125,1
IPLoM,Windows,20,0:00:03.050258,117.55859375,2
IPLoM,Windows,20,0:00:03.042918,117.65625,3
IPLoM,Windows,20,0:00:03.029312,117.6953125,4
IPLoM,Windows,20,0:00:03.032834,117.6484375,5
IPLoM,Windows,20,0:00:03.031281,117.88671875,6
IPLoM,Windows,20,0:00:03.025321,117.3046875,7
IPLoM,Windows,20,0:00:03.039726,117.40625,8
