method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,1
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,2
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,3
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,4
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,5
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,6
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,7
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,8
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,9
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,10
