method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LFA,HDFS,1,0:00:00.123671,88.6640625,1
LFA,HDFS,1,0:00:00.120403,88.3984375,2
LFA,HDFS,1,0:00:00.122045,88.33984375,3
LFA,HDFS,1,0:00:00.121899,88.33984375,4
LFA,HDFS,1,0:00:00.119928,88.45703125,5
LFA,HDFS,1,0:00:00.124402,88.703125,6
LFA,HDFS,1,0:00:00.115740,88.89453125,7
LFA,HDFS,1,0:00:00.122628,88.44140625,8
LFA,HDFS,1,0:00:00.123257,88.8984375,9
LFA,HDFS,1,0:00:00.150836,88.34375,10
LFA,HDFS,2,0:00:00.219281,89.78515625,1
LFA,HDFS,2,0:00:00.218731,89.30078125,2
LFA,HDFS,2,0:00:00.218725,89.48828125,3
LFA,HDFS,2,0:00:00.216363,89.5546875,4
LFA,HDFS,2,0:00:00.218684,89.50390625,5
LFA,HDFS,2,0:00:00.215812,89.875,6
LFA,HDFS,2,0:00:00.219068,89.87890625,7
LFA,HDFS,2,0:00:00.216294,89.55078125,8
LFA,HDFS,2,0:00:00.217255,89.59765625,9
LFA,HDFS,2,0:00:00.218675,89.6484375,10
LFA,HDFS,4,0:00:00.425057,92.1015625,1
LFA,HDFS,4,0:00:00.399911,91.59765625,2
LFA,HDFS,4,0:00:00.411989,91.9375,3
LFA,HDFS,4,0:00:00.395812,91.5078125,4
LFA,HDFS,4,0:00:00.405403,92.46875,5
LFA,HDFS,4,0:00:00.399457,92.44140625,6
LFA,HDFS,4,0:00:00.400451,92.4453125,7
LFA,HDFS,4,0:00:00.396044,91.4140625,8
LFA,HDFS,4,0:00:00.394285,90.96875,9
LFA,HDFS,4,0:00:00.402818,92.1328125,10
LFA,HDFS,10,0:00:00.962557,98.06640625,1
LFA,HDFS,10,0:00:00.970807,98.34375,2
LFA,HDFS,10,0:00:00.969970,98.078125,3
LFA,HDFS,10,0:00:00.966531,98.2734375,4
LFA,HDFS,10,0:00:00.952023,99.2109375,5
LFA,HDFS,10,0:00:00.964835,98.0546875,6
LFA,HDFS,10,0:00:00.966939,97.95703125,7
LFA,HDFS,10,0:00:00.952263,98.73828125,8
LFA,HDFS,10,0:00:00.956523,99.0703125,9
LFA,HDFS,10,0:00:00.977636,98.55859375,10
LFA,HDFS,20,0:00:01.952558,110.41015625,1
LFA,HDFS,20,0:00:01.942324,110.41015625,2
LFA,HDFS,20,0:00:01.945038,110.5390625,3
LFA,HDFS,20,0:00:01.952434,110.25390625,4
LFA,HDFS,20,0:00:01.917229,110.4765625,5
LFA,HDFS,20,0:00:01.943286,110.50390625,6
LFA,HDFS,20,0:00:01.953678,110.15625,7
LFA,HDFS,20,0:00:01.958460,110.4453125,8
LFA,HDFS,20,0:00:01.955569,110.28515625,9
LFA,HDFS,20,0:00:01.970506,110.34375,10
LFA,HDFS,50,0:00:04.808973,143.96484375,1
LFA,HDFS,50,0:00:04.759521,144.0625,2
LFA,HDFS,50,0:00:04.845118,144.4765625,3
LFA,HDFS,50,0:00:04.777904,144.47265625,4
LFA,HDFS,50,0:00:04.726746,144.41796875,5
LFA,HDFS,50,0:00:04.794150,143.84765625,6
LFA,HDFS,50,0:00:04.826359,144.15234375,7
LFA,HDFS,50,0:00:04.787324,143.640625,8
LFA,HDFS,50,0:00:04.824966,144.13671875,9
LFA,HDFS,50,0:00:04.836356,143.65625,10
LFA,HDFS,100,0:00:09.519857,199.55859375,1
LFA,HDFS,100,0:00:09.570861,199.22265625,2
LFA,HDFS,100,0:00:09.552352,199.26171875,3
LFA,HDFS,100,0:00:09.494478,199.37109375,4
LFA,HDFS,100,0:00:09.500994,199.5234375,5
LFA,HDFS,100,0:00:09.719153,199.87890625,6
LFA,HDFS,100,0:00:09.526846,199.375,7
LFA,HDFS,100,0:00:09.543114,199.78125,8
LFA,HDFS,100,0:00:09.635804,198.75,9
LFA,HDFS,100,0:00:09.653561,199.734375,10
LFA,HDFS,200,0:00:19.429639,312.29296875,1
LFA,HDFS,200,0:00:19.178138,312.16015625,2
LFA,HDFS,200,0:00:19.221460,312.09765625,3
LFA,HDFS,200,0:00:19.177937,312.00390625,4
LFA,HDFS,200,0:00:19.193984,311.9765625,5
LFA,HDFS,200,0:00:19.358171,312.125,6
LFA,HDFS,200,0:00:19.366391,312.0078125,7
LFA,HDFS,200,0:00:19.289448,312.18359375,8
LFA,HDFS,200,0:00:19.414746,312.42578125,9
LFA,HDFS,200,0:00:19.323933,312.42578125,10
LFA,HDFS,300,0:00:29.162117,429.53125,1
LFA,HDFS,300,0:00:28.847604,429.7734375,2
LFA,HDFS,300,0:00:28.769673,429.1875,3
LFA,HDFS,300,0:00:28.864131,429.36328125,4
LFA,HDFS,300,0:00:28.903500,429.5625,5
LFA,HDFS,300,0:00:29.005482,429.56640625,6
LFA,HDFS,300,0:00:28.749149,429.359375,7
LFA,HDFS,300,0:00:28.953421,429.37890625,8
LFA,HDFS,300,0:00:28.952855,429.421875,9
LFA,HDFS,300,0:00:28.981560,429.5390625,10
LFA,HDFS,500,0:00:48.071391,650.9140625,1
LFA,HDFS,500,0:00:48.509545,651.2109375,2
LFA,HDFS,500,0:00:48.361759,651.0859375,3
LFA,HDFS,500,0:00:48.106801,650.828125,4
LFA,HDFS,500,0:00:48.449362,650.8984375,5
LFA,HDFS,500,0:00:48.516893,650.92578125,6
LFA,HDFS,500,0:00:48.496790,650.96484375,7
LFA,HDFS,500,0:00:48.466920,650.8046875,8
LFA,HDFS,500,0:00:48.334682,651.0703125,9
LFA,HDFS,500,0:00:48.463101,650.90625,10
LFA,HDFS,1000,0:01:36.730174,1191.42578125,1
LFA,HDFS,1000,0:01:36.943779,1191.46875,2
LFA,HDFS,1000,0:01:36.459549,1191.4140625,3
LFA,HDFS,1000,0:01:36.519205,1191.13671875,4
LFA,HDFS,1000,0:01:36.676248,1191.30859375,5
LFA,HDFS,1000,0:01:37.129726,1191.1328125,6
LFA,HDFS,1000,0:01:36.554570,1191.640625,7
LFA,HDFS,1000,0:01:36.475247,1191.24609375,8
LFA,HDFS,1000,0:01:37.000099,1191.38671875,9
LFA,HDFS,1000,0:01:37.472814,1191.6875,10
