method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,1
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,2
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,3
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,4
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,5
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,6
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,7
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,8
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,9
LFA,Thunderbird,2,0.9998,0.9976,0.9987,0.6485,10
