method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LFA,Thunderbird,1,0:00:00.128086,89.41015625,1
LFA,Thunderbird,1,0:00:00.128307,89.16015625,2
LFA,Thunderbird,1,0:00:00.130681,89.34375,3
LFA,Thunderbird,1,0:00:00.131292,89.3984375,4
LFA,Thunderbird,1,0:00:00.126304,89.31640625,5
LFA,Thunderbird,1,0:00:00.134718,89.4453125,6
LFA,Thunderbird,1,0:00:00.125950,88.96875,7
LFA,Thunderbird,1,0:00:00.128693,89.3984375,8
LFA,Thunderbird,1,0:00:00.128884,89.08984375,9
LFA,Thunderbird,1,0:00:00.128837,88.9609375,10
LFA,Thunderbird,2,0:00:00.226627,90.68359375,1
LFA,Thunderbird,2,0:00:00.225741,90.7265625,2
LFA,Thunderbird,2,0:00:00.229616,90.97265625,3
LFA,Thunderbird,2,0:00:00.220505,90.66796875,4
LFA,Thunderbird,2,0:00:00.225760,90.70703125,5
LFA,Thunderbird,2,0:00:00.224174,90.52734375,6
LFA,Thunderbird,2,0:00:00.228737,90.9609375,7
LFA,Thunderbird,2,0:00:00.223526,90.48046875,8
LFA,Thunderbird,2,0:00:00.228423,90.53515625,9
LFA,Thunderbird,2,0:00:00.230597,90.67578125,10
LFA,Thunderbird,4,0:00:00.412333,93.5625,1
LFA,Thunderbird,4,0:00:00.407981,93.546875,2
LFA,Thunderbird,4,0:00:00.408685,93.30859375,3
LFA,Thunderbird,4,0:00:00.407586,93.265625,4
LFA,Thunderbird,4,0:00:00.405233,93.1875,5
LFA,Thunderbird,4,0:00:00.410842,93.265625,6
LFA,Thunderbird,4,0:00:00.414093,93.2578125,7
LFA,Thunderbird,4,0:00:00.407408,93.13671875,8
LFA,Thunderbird,4,0:00:00.406580,93.31640625,9
LFA,Thunderbird,4,0:00:00.407359,93.265625,10
LFA,Thunderbird,10,0:00:13.343892,101.56640625,1
LFA,Thunderbird,10,0:00:13.443672,101.1484375,2
LFA,Thunderbird,10,0:00:13.410231,101.0390625,3
LFA,Thunderbird,10,0:00:13.367589,101.515625,4
LFA,Thunderbird,10,0:00:13.342755,101.078125,5
LFA,Thunderbird,10,0:00:13.309424,100.75,6
LFA,Thunderbird,10,0:00:13.297120,101.1171875,7
LFA,Thunderbird,10,0:00:13.404892,100.9921875,8
LFA,Thunderbird,10,0:00:13.320597,101.05859375,9
LFA,Thunderbird,10,0:00:13.343029,101.44921875,10
LFA,Thunderbird,20,0:00:18.440273,113.93359375,1
LFA,Thunderbird,20,0:00:18.503873,114.25,2
LFA,Thunderbird,20,0:00:18.353075,113.89453125,3
LFA,Thunderbird,20,0:00:18.351194,114.2265625,4
LFA,Thunderbird,20,0:00:18.388312,114.3359375,5
LFA,Thunderbird,20,0:00:18.652060,114.1015625,6
LFA,Thunderbird,20,0:00:18.371979,114.15625,7
LFA,Thunderbird,20,0:00:18.456116,113.828125,8
LFA,Thunderbird,20,0:00:18.366893,114.1640625,9
LFA,Thunderbird,20,0:00:18.341081,114.171875,10
