method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,1
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,2
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,3
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,4
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,5
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,6
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,7
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,8
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,9
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,10
