method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LFA,Windows,1,0:00:00.118716,89.13671875,1
LFA,Windows,1,0:00:00.118525,88.7890625,2
LFA,Windows,1,0:00:00.117169,88.6875,3
LFA,Windows,1,0:00:00.115211,88.90625,4
LFA,Windows,1,0:00:00.117911,88.87109375,5
LFA,Windows,1,0:00:00.117338,88.578125,6
LFA,Windows,1,0:00:00.117644,89.140625,7
LFA,Windows,1,0:00:00.115545,88.80078125,8
LFA,Windows,1,0:00:00.119242,88.71875,9
LFA,Windows,1,0:00:00.118505,89.08203125,10
LFA,Windows,2,0:00:00.201663,89.921875,1
LFA,Windows,2,0:00:00.207496,90.171875,2
LFA,Windows,2,0:00:00.195518,89.875,3
LFA,Windows,2,0:00:00.203030,90.1484375,4
LFA,Windows,2,0:00:00.207322,89.5546875,5
LFA,Windows,2,0:00:00.206396,89.94921875,6
LFA,Windows,2,0:00:00.203978,89.87109375,7
LFA,Windows,2,0:00:00.204492,89.85546875,8
LFA,Windows,2,0:00:00.204625,89.8125,9
LFA,Windows,2,0:00:00.204825,90.11328125,10
LFA,Windows,4,0:00:00.377498,91.94921875,1
LFA,Windows,4,0:00:00.374794,91.875,2
LFA,Windows,4,0:00:00.372686,91.82421875,3
LFA,Windows,4,0:00:00.376584,92.265625,4
LFA,Windows,4,0:00:00.369696,91.78125,5
LFA,Windows,4,0:00:00.375081,91.953125,6
LFA,Windows,4,0:00:00.375622,91.6953125,7
LFA,Windows,4,0:00:00.380699,91.94140625,8
LFA,Windows,4,0:00:00.383247,92.30078125,9
LFA,Windows,4,0:00:00.375570,91.77734375,10
LFA,Windows,10,0:00:00.948057,99.12109375,1
LFA,Windows,10,0:00:00.922044,99.39453125,2
LFA,Windows,10,0:00:00.938064,99.23046875,3
LFA,Windows,10,0:00:00.926989,99.390625,4
LFA,Windows,10,0:00:00.935663,99.12109375,5
LFA,Windows,10,0:00:00.938435,98.71484375,6
LFA,Windows,10,0:00:00.932026,99.359375,7
LFA,Windows,10,0:00:00.925096,99.42578125,8
LFA,Windows,10,0:00:00.933249,99.015625,9
LFA,Windows,10,0:00:00.970145,98.29296875,10
LFA,Windows,20,0:00:01.816841,111.41015625,1
LFA,Windows,20,0:00:01.793283,110.88671875,2
LFA,Windows,20,0:00:01.832871,111.57421875,3
LFA,Windows,20,0:00:01.805808,111.51171875,4
LFA,Windows,20,0:00:01.842190,111.2578125,5
LFA,Windows,20,0:00:01.814406,111.265625,6
LFA,Windows,20,0:00:01.829388,111.8359375,7
LFA,Windows,20,0:00:01.804649,110.1328125,8
LFA,Windows,20,0:00:01.821995,111.86328125,9
LFA,Windows,20,0:00:01.834434,111.4375,10
LFA,Windows,50,0:00:04.620093,153.03515625,1
LFA,Windows,50,0:00:04.680314,152.94921875,2
LFA,Windows,50,0:00:04.656471,152.65625,3
LFA,Windows,50,0:00:04.652349,152.78515625,4
LFA,Windows,50,0:00:04.635151,152.9140625,5
LFA,Windows,50,0:00:04.660197,152.734375,6
LFA,Windows,50,0:00:04.641386,152.8046875,7
LFA,Windows,50,0:00:04.666348,152.6015625,8
LFA,Windows,50,0:00:04.713980,152.828125,9
LFA,Windows,50,0:00:04.644398,152.953125,10
LFA,Windows,100,0:00:09.521289,222.31640625,1
LFA,Windows,100,0:00:09.456990,222.48046875,2
LFA,Windows,100,0:00:09.553927,222.3203125,3
LFA,Windows,100,0:00:09.523632,222.28125,4
LFA,Windows,100,0:00:09.616080,222.37890625,5
LFA,Windows,100,0:00:09.525818,222.24609375,6
LFA,Windows,100,0:00:09.467339,222.71875,7
LFA,Windows,100,0:00:09.445792,222.45703125,8
LFA,Windows,100,0:00:09.423829,223.25,9
