method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,1
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,2
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,3
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,4
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,5
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,6
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,7
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,8
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,9
LKE,HDFS,2,1.0000,1.0000,1.0000,1.0000,10
