method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,1
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,2
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,3
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,4
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,5
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,6
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,7
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,8
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,9
LKE,OpenSSH,2,0.9999,0.8805,0.9364,0.4255,10
