method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LKE,OpenSSH,1,0:01:08.333884,147.3359375,1
LKE,OpenSSH,1,0:00:21.542080,289.9921875,2
LKE,OpenSSH,1,0:00:15.647531,289.51171875,3
LKE,OpenSSH,1,0:00:39.629705,290.64453125,4
LKE,OpenSSH,1,0:00:21.588547,289.69140625,5
LKE,OpenSSH,1,0:00:12.885922,291.40234375,6
LKE,OpenSSH,1,0:00:19.026097,289.76171875,7
LKE,OpenSSH,1,0:00:38.851479,289.71875,8
LKE,OpenSSH,1,0:00:15.667725,289.4921875,9
LKE,OpenSSH,1,0:00:21.278279,289.8828125,10
LKE,OpenSSH,2,0:03:18.331559,307.5859375,1
LKE,OpenSSH,2,0:01:14.520901,913.28125,2
LKE,OpenSSH,2,0:01:48.610776,898.80859375,3
LKE,OpenSSH,2,0:01:14.622554,899.32421875,4
LKE,OpenSSH,2,0:01:03.161917,914.046875,5
LKE,OpenSSH,2,0:01:13.295793,904.65625,6
LKE,OpenSSH,2,0:01:02.768179,904.00390625,7
LKE,OpenSSH,2,0:01:25.977581,910.890625,8
LKE,OpenSSH,2,0:01:02.555255,905.17578125,9
LKE,OpenSSH,2,0:01:03.012161,911.5234375,10
LKE,OpenSSH,4,0:13:40.436523,969.26171875,1
LKE,OpenSSH,4,0:04:55.200145,3372.11328125,2
LKE,OpenSSH,4,0:04:57.996226,3364.5703125,3
LKE,OpenSSH,4,0:04:09.791048,3371.12109375,4
LKE,OpenSSH,4,0:05:41.684355,3366.47265625,5
LKE,OpenSSH,4,0:04:09.713523,3367.43359375,6
LKE,OpenSSH,4,0:04:10.122921,3365.55078125,7
LKE,OpenSSH,4,0:03:25.138243,3374.046875,8
LKE,OpenSSH,4,0:05:44.264854,3372.1484375,9
LKE,OpenSSH,4,0:06:27.524257,3376.59765625,10
