method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LKE,Windows,1,0:00:49.059550,142.33203125,1
LKE,Windows,1,0:00:12.651295,292.03515625,2
LKE,Windows,1,0:00:15.354540,279.4140625,3
LKE,Windows,1,0:00:15.457418,294.68359375,4
LKE,Windows,1,0:00:26.879638,295.09375,5
LKE,Windows,1,0:00:12.610940,279.9140625,6
LKE,Windows,1,0:00:27.141592,279.609375,7
LKE,Windows,1,0:00:15.623296,279.9375,8
LKE,Windows,1,0:00:18.304950,294.42578125,9
LKE,Windows,1,0:00:15.453217,294.9609375,10
LKE,Windows,2,0:03:01.868801,317.8203125,1
LKE,Windows,2,0:00:51.446275,908.296875,2
LKE,Windows,2,0:01:38.154906,911.39453125,3
LKE,Windows,2,0:01:02.020602,904.09765625,4
LKE,Windows,2,0:01:01.933601,906.81640625,5
LKE,Windows,2,0:02:00.855090,912.9609375,6
LKE,Windows,2,0:01:25.309837,908.34375,7
LKE,Windows,2,0:01:02.752805,909.83984375,8
LKE,Windows,2,0:00:51.175871,909.8359375,9
LKE,Windows,2,0:01:04.480972,909.2265625,10
LKE,Windows,4,0:12:04.217709,950.546875,1
LKE,Windows,4,0:03:19.519165,3363.87109375,2
LKE,Windows,4,0:03:22.913184,3369.6015625,3
LKE,Windows,4,0:03:24.975155,3357.3125,4
LKE,Windows,4,0:04:58.908326,3360.15234375,5
LKE,Windows,4,0:07:18.098526,3361.86328125,6
LKE,Windows,4,0:03:24.054513,3368.49609375,7
LKE,Windows,4,0:03:21.466869,3356.05859375,8
LKE,Windows,4,0:07:15.437881,3363.72265625,9
LKE,Windows,4,0:03:22.075211,3363.6796875,10
LKE,Windows,10,1:39:49.514449,5465.0546875,1
LKE,Windows,10,0:20:56.280415,20509.3789062,2
LKE,Windows,10,0:45:10.338829,20519.0546875,3
LKE,Windows,10,0:45:44.420306,20513.1054688,4
LKE,Windows,10,0:40:25.904274,20516.1875,5
LKE,Windows,10,0:21:44.162810,20510.8984375,6
LKE,Windows,10,0:45:43.208764,20517.3203125,7
LKE,Windows,10,0:21:44.061643,20504.75,8
LKE,Windows,10,0:50:06.845928,20513.3671875,9
LKE,Windows,10,0:40:49.815784,20512.4296875,10
