method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,1
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,2
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,3
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,4
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,5
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,6
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,7
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,8
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,9
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,10
