method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Lenma,BGL,1,0:00:00.211563,96.078125,1
Lenma,BGL,1,0:00:00.208430,96.19921875,2
Lenma,BGL,1,0:00:00.204866,96.51171875,3
Lenma,BGL,1,0:00:00.209023,96.359375,4
Lenma,BGL,1,0:00:00.204731,96.23828125,5
Lenma,BGL,1,0:00:00.205510,95.84765625,6
Lenma,BGL,1,0:00:00.208504,96.1015625,7
Lenma,BGL,1,0:00:00.207041,96.3828125,8
Lenma,BGL,1,0:00:00.207112,96.15234375,9
Lenma,BGL,1,0:00:00.206483,96.140625,10
Lenma,BGL,2,0:00:02.302440,106.0234375,1
Lenma,BGL,2,0:00:02.282891,105.98828125,2
Lenma,BGL,2,0:00:02.262190,106.11328125,3
Lenma,BGL,2,0:00:02.258327,106.06640625,4
Lenma,BGL,2,0:00:02.292650,106.05859375,5
Lenma,BGL,2,0:00:02.310172,106.08984375,6
Lenma,BGL,2,0:00:02.271914,105.828125,7
Lenma,BGL,2,0:00:02.278129,105.8671875,8
Lenma,BGL,2,0:00:02.283961,105.8984375,9
Lenma,BGL,2,0:00:02.264144,106.07421875,10
Lenma,BGL,4,0:00:00.776484,98.9765625,1
Lenma,BGL,4,0:00:00.782917,98.37890625,2
Lenma,BGL,4,0:00:00.768672,98.515625,3
Lenma,BGL,4,0:00:00.790969,98.7265625,4
Lenma,BGL,4,0:00:00.775612,98.4140625,5
Lenma,BGL,4,0:00:00.774822,98.75390625,6
Lenma,BGL,4,0:00:00.769806,98.359375,7
Lenma,BGL,4,0:00:00.768464,98.37109375,8
Lenma,BGL,4,0:00:00.772852,98.90625,9
Lenma,BGL,4,0:00:00.775621,98.91015625,10
Lenma,BGL,10,0:00:02.430942,112.578125,1
Lenma,BGL,10,0:00:02.431865,113.03515625,2
Lenma,BGL,10,0:00:02.418946,112.703125,3
Lenma,BGL,10,0:00:02.444850,112.7890625,4
Lenma,BGL,10,0:00:02.440258,112.765625,5
Lenma,BGL,10,0:00:02.405011,112.375,6
Lenma,BGL,10,0:00:02.438183,112.78125,7
Lenma,BGL,10,0:00:02.421068,113.0390625,8
Lenma,BGL,10,0:00:02.418953,112.734375,9
Lenma,BGL,10,0:00:02.455315,113.0390625,10
Lenma,BGL,20,0:00:04.919722,122.65625,1
Lenma,BGL,20,0:00:04.916547,122.08203125,2
Lenma,BGL,20,0:00:04.933289,122.6796875,3
Lenma,BGL,20,0:00:04.901445,122.1640625,4
Lenma,BGL,20,0:00:04.918740,122.28515625,5
Lenma,BGL,20,0:00:04.977876,122.3046875,6
Lenma,BGL,20,0:00:04.900345,122.1015625,7
Lenma,BGL,20,0:00:04.940385,122.37109375,8
Lenma,BGL,20,0:00:04.938453,122.39453125,9
Lenma,BGL,20,0:00:04.897616,121.453125,10
Lenma,BGL,50,0:00:13.157160,153.19140625,1
Lenma,BGL,50,0:00:13.077525,154.06640625,2
Lenma,BGL,50,0:00:13.071774,154.56640625,3
Lenma,BGL,50,0:00:13.077207,154.421875,4
Lenma,BGL,50,0:00:13.101624,153.9765625,5
Lenma,BGL,50,0:00:13.231664,154.09375,6
Lenma,BGL,50,0:00:13.092125,150.0859375,7
Lenma,BGL,50,0:00:13.085920,154.25,8
Lenma,BGL,50,0:00:13.074151,154.25,9
Lenma,BGL,50,0:00:13.134203,150.14453125,10
Lenma,BGL,100,0:00:31.663505,196.08984375,1
Lenma,BGL,100,0:00:31.395506,195.9921875,2
Lenma,BGL,100,0:00:31.306929,196.12890625,3
Lenma,BGL,100,0:00:31.494498,195.921875,4
Lenma,BGL,100,0:00:31.473126,195.99609375,5
Lenma,BGL,100,0:00:31.688506,195.6484375,6
Lenma,BGL,100,0:00:31.277571,196.33203125,7
Lenma,BGL,100,0:00:31.536633,196.109375,8
Lenma,BGL,100,0:00:31.786063,195.72265625,9
Lenma,BGL,100,0:00:31.993635,196.3359375,10
Lenma,BGL,200,0:01:06.501607,306.546875,1
Lenma,BGL,200,0:01:06.450970,306.4296875,2
Lenma,BGL,200,0:01:06.998378,306.35546875,3
Lenma,BGL,200,0:01:06.398592,306.73828125,4
Lenma,BGL,200,0:01:06.332489,306.7421875,5
Lenma,BGL,200,0:01:06.125510,306.46484375,6
Lenma,BGL,200,0:01:06.791842,306.44921875,7
Lenma,BGL,200,0:01:06.539152,306.43359375,8
Lenma,BGL,200,0:01:06.372779,306.40234375,9
Lenma,BGL,200,0:01:06.613283,306.46484375,10
Lenma,BGL,300,0:02:42.651809,384.4375,1
Lenma,BGL,300,0:02:41.223039,384.47265625,2
Lenma,BGL,300,0:02:42.446045,384.1171875,3
Lenma,BGL,300,0:02:40.697340,384.453125,4
Lenma,BGL,300,0:02:41.764145,384.63671875,5
Lenma,BGL,300,0:02:42.408448,384.40625,6
Lenma,BGL,300,0:02:41.078713,384.125,7
Lenma,BGL,300,0:02:41.896893,384.46875,8
Lenma,BGL,300,0:02:41.656509,384.56640625,9
Lenma,BGL,300,0:02:40.748390,384.1796875,10
