method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Lenma,HDFS,1,0:00:00.224437,104.5625,1
Lenma,HDFS,1,0:00:00.223792,104.5078125,2
Lenma,HDFS,1,0:00:00.224167,104.51171875,3
Lenma,HDFS,1,0:00:00.216073,104.4296875,4
Lenma,HDFS,1,0:00:00.220825,104.80859375,5
Lenma,HDFS,1,0:00:00.227202,104.609375,6
Lenma,HDFS,1,0:00:00.223908,104.7265625,7
Lenma,HDFS,1,0:00:00.216231,104.26171875,8
Lenma,HDFS,1,0:00:00.224222,104.5859375,9
Lenma,HDFS,1,0:00:00.217203,104.4375,10
Lenma,HDFS,2,0:00:00.422024,105.75390625,1
Lenma,HDFS,2,0:00:00.417772,105.32421875,2
Lenma,HDFS,2,0:00:00.414993,105.16015625,3
Lenma,HDFS,2,0:00:00.428313,105.66015625,4
Lenma,HDFS,2,0:00:00.417822,105.625,5
Lenma,HDFS,2,0:00:00.418220,105.6953125,6
Lenma,HDFS,2,0:00:00.420225,105.64453125,7
Lenma,HDFS,2,0:00:00.422779,105.36328125,8
Lenma,HDFS,2,0:00:00.418039,105.25390625,9
Lenma,HDFS,2,0:00:00.422590,105.359375,10
Lenma,HDFS,4,0:00:00.819594,106.90234375,1
Lenma,HDFS,4,0:00:00.838004,106.859375,2
Lenma,HDFS,4,0:00:00.819526,106.57421875,3
Lenma,HDFS,4,0:00:00.832258,106.578125,4
Lenma,HDFS,4,0:00:00.820671,106.703125,5
Lenma,HDFS,4,0:00:00.819206,106.61328125,6
Lenma,HDFS,4,0:00:00.820391,106.6796875,7
Lenma,HDFS,4,0:00:00.817736,106.9296875,8
Lenma,HDFS,4,0:00:00.820087,106.6796875,9
Lenma,HDFS,4,0:00:00.825944,107.00390625,10
Lenma,HDFS,10,0:00:01.958919,110.9296875,1
Lenma,HDFS,10,0:00:01.941289,111.4453125,2
Lenma,HDFS,10,0:00:01.940449,110.9453125,3
Lenma,HDFS,10,0:00:01.954611,111.0703125,4
Lenma,HDFS,10,0:00:01.942481,111.328125,5
Lenma,HDFS,10,0:00:01.956285,111.6640625,6
Lenma,HDFS,10,0:00:01.941059,111.45703125,7
Lenma,HDFS,10,0:00:01.949190,111.06640625,8
Lenma,HDFS,10,0:00:01.939173,110.5859375,9
Lenma,HDFS,10,0:00:01.957480,111.59765625,10
Lenma,HDFS,20,0:00:03.823348,118.27734375,1
Lenma,HDFS,20,0:00:03.842206,118.28515625,2
Lenma,HDFS,20,0:00:03.827627,118.52734375,3
Lenma,HDFS,20,0:00:03.852785,118.35546875,4
Lenma,HDFS,20,0:00:03.820606,118.14453125,5
Lenma,HDFS,20,0:00:03.840032,118.27734375,6
Lenma,HDFS,20,0:00:03.847506,117.81640625,7
Lenma,HDFS,20,0:00:03.809321,117.1796875,8
Lenma,HDFS,20,0:00:03.858364,117.9609375,9
Lenma,HDFS,20,0:00:03.826913,118.57421875,10
Lenma,HDFS,50,0:00:09.452816,139.6875,1
Lenma,HDFS,50,0:00:09.433902,139.703125,2
Lenma,HDFS,50,0:00:09.536328,139.3828125,3
Lenma,HDFS,50,0:00:09.457852,139.3359375,4
Lenma,HDFS,50,0:00:09.538377,139.67578125,5
Lenma,HDFS,50,0:00:09.484410,139.6953125,6
Lenma,HDFS,50,0:00:09.462014,141.48046875,7
Lenma,HDFS,50,0:00:09.454292,139.72265625,8
