method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Lenma,OpenSSH,1,0:00:00.245542,104.5234375,1
Lenma,OpenSSH,1,0:00:00.236352,104.4921875,2
Lenma,OpenSSH,1,0:00:00.233698,104.44921875,3
Lenma,OpenSSH,1,0:00:00.238579,104.37890625,4
Lenma,OpenSSH,1,0:00:00.240802,104.14453125,5
Lenma,OpenSSH,1,0:00:00.238406,104.48828125,6
Lenma,OpenSSH,1,0:00:00.238460,104.671875,7
Lenma,OpenSSH,1,0:00:00.245588,104.4453125,8
Lenma,OpenSSH,1,0:00:00.237366,104.73828125,9
Lenma,OpenSSH,1,0:00:00.233195,104.51953125,10
Lenma,OpenSSH,2,0:00:00.524166,105.3203125,1
Lenma,OpenSSH,2,0:00:00.523918,105.29296875,2
Lenma,OpenSSH,2,0:00:00.527241,105.36328125,3
Lenma,OpenSSH,2,0:00:00.523992,105.59375,4
Lenma,OpenSSH,2,0:00:00.524549,105.3125,5
Lenma,OpenSSH,2,0:00:00.517164,105.046875,6
Lenma,OpenSSH,2,0:00:00.519662,105.2578125,7
Lenma,OpenSSH,2,0:00:00.522633,105.5546875,8
Lenma,OpenSSH,2,0:00:00.522374,105.37109375,9
Lenma,OpenSSH,2,0:00:00.525167,105.5703125,10
Lenma,OpenSSH,4,0:00:01.148485,106.94140625,1
Lenma,OpenSSH,4,0:00:01.149055,107.05078125,2
Lenma,OpenSSH,4,0:00:01.155088,106.75390625,3
Lenma,OpenSSH,4,0:00:01.150727,107.01953125,4
Lenma,OpenSSH,4,0:00:01.133064,106.7421875,5
Lenma,OpenSSH,4,0:00:01.151134,106.48046875,6
Lenma,OpenSSH,4,0:00:01.166745,106.74609375,7
Lenma,OpenSSH,4,0:00:01.142963,107.00390625,8
Lenma,OpenSSH,4,0:00:01.157015,106.80859375,9
Lenma,OpenSSH,4,0:00:01.129924,106.96875,10
Lenma,OpenSSH,10,0:00:02.840013,111.69921875,1
Lenma,OpenSSH,10,0:00:02.848883,111.55859375,2
Lenma,OpenSSH,10,0:00:02.803184,110.04296875,3
Lenma,OpenSSH,10,0:00:02.843061,111.34765625,4
Lenma,OpenSSH,10,0:00:02.832268,111.25,5
Lenma,OpenSSH,10,0:00:02.813988,111.5390625,6
Lenma,OpenSSH,10,0:00:02.848162,112.06640625,7
Lenma,OpenSSH,10,0:00:02.808614,111.2734375,8
Lenma,OpenSSH,10,0:00:02.847651,112.03125,9
Lenma,OpenSSH,10,0:00:02.828788,111.79296875,10
Lenma,OpenSSH,20,0:00:05.862181,120.05859375,1
Lenma,OpenSSH,20,0:00:05.815472,118.67578125,2
Lenma,OpenSSH,20,0:00:05.823915,119.67578125,3
Lenma,OpenSSH,20,0:00:05.857331,119.6328125,4
Lenma,OpenSSH,20,0:00:05.814420,120.0625,5
Lenma,OpenSSH,20,0:00:05.823272,118.90234375,6
Lenma,OpenSSH,20,0:00:05.832155,119.6328125,7
Lenma,OpenSSH,20,0:00:05.761732,118.65234375,8
Lenma,OpenSSH,20,0:00:05.886189,119.8046875,9
Lenma,OpenSSH,20,0:00:05.820401,118.7109375,10
Lenma,OpenSSH,50,0:00:14.067541,138.984375,1
Lenma,OpenSSH,50,0:00:14.159900,140.1015625,2
