method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Lenma,Thunderbird,1,0:00:00.324491,105.4765625,1
Lenma,Thunderbird,1,0:00:00.323661,105.1796875,2
Lenma,Thunderbird,1,0:00:00.321178,105.42578125,3
Lenma,Thunderbird,1,0:00:00.322348,105.4296875,4
Lenma,Thunderbird,1,0:00:00.323249,105.171875,5
Lenma,Thunderbird,1,0:00:00.321610,104.90625,6
Lenma,Thunderbird,1,0:00:00.318579,104.921875,7
Lenma,Thunderbird,1,0:00:00.318933,105.17578125,8
Lenma,Thunderbird,1,0:00:00.320500,105.1875,9
Lenma,Thunderbird,1,0:00:00.322189,105.10546875,10
Lenma,Thunderbird,2,0:00:00.531784,106.2734375,1
Lenma,Thunderbird,2,0:00:00.516768,106.0625,2
Lenma,Thunderbird,2,0:00:00.537154,106.2265625,3
Lenma,Thunderbird,2,0:00:00.515477,106.3125,4
Lenma,Thunderbird,2,0:00:00.520758,105.87890625,5
Lenma,Thunderbird,2,0:00:00.508290,106.25390625,6
Lenma,Thunderbird,2,0:00:00.515167,106.00390625,7
Lenma,Thunderbird,2,0:00:00.526431,105.99609375,8
Lenma,Thunderbird,2,0:00:00.526735,105.875,9
Lenma,Thunderbird,2,0:00:00.514769,105.921875,10
Lenma,Thunderbird,4,0:00:01.398614,108.0546875,1
Lenma,Thunderbird,4,0:00:01.403044,108.58203125,2
Lenma,Thunderbird,4,0:00:01.398712,108.41796875,3
Lenma,Thunderbird,4,0:00:01.391040,108.31640625,4
Lenma,Thunderbird,4,0:00:01.387688,108.078125,5
Lenma,Thunderbird,4,0:00:01.401541,107.9609375,6
Lenma,Thunderbird,4,0:00:01.389317,108.16796875,7
Lenma,Thunderbird,4,0:00:01.397988,108.30859375,8
Lenma,Thunderbird,4,0:00:01.405163,108.109375,9
Lenma,Thunderbird,4,0:00:01.405286,108.16796875,10
Lenma,Thunderbird,10,0:00:16.116793,113.875,1
Lenma,Thunderbird,10,0:00:16.095553,114.19921875,2
Lenma,Thunderbird,10,0:00:16.174224,113.8671875,3
Lenma,Thunderbird,10,0:00:16.098678,114.046875,4
Lenma,Thunderbird,10,0:00:16.238255,114.390625,5
Lenma,Thunderbird,10,0:00:16.086996,114.09765625,6
Lenma,Thunderbird,10,0:00:16.137614,114.5546875,7
Lenma,Thunderbird,10,0:00:16.082984,114.34375,8
Lenma,Thunderbird,10,0:00:16.075722,114.00390625,9
Lenma,Thunderbird,10,0:00:15.993652,114.04296875,10
Lenma,Thunderbird,20,0:00:25.287135,123.68359375,1
Lenma,Thunderbird,20,0:00:25.273018,123.51953125,2
Lenma,Thunderbird,20,0:00:25.378847,124.97265625,3
Lenma,Thunderbird,20,0:00:25.283470,124.59375,4
Lenma,Thunderbird,20,0:00:25.394688,123.953125,5
Lenma,Thunderbird,20,0:00:25.431698,124.7890625,6
Lenma,Thunderbird,20,0:00:25.447041,124.75390625,7
Lenma,Thunderbird,20,0:00:25.323154,124.66015625,8
Lenma,Thunderbird,20,0:00:25.395961,123.77734375,9
Lenma,Thunderbird,20,0:00:25.334996,124.86328125,10
Lenma,Thunderbird,50,0:01:05.039501,155.640625,1
Lenma,Thunderbird,50,0:01:05.287544,155.046875,2
Lenma,Thunderbird,50,0:01:05.244024,155.296875,3
Lenma,Thunderbird,50,0:01:05.152730,155.1015625,4
Lenma,Thunderbird,50,0:01:05.112181,155.08984375,5
Lenma,Thunderbird,50,0:01:04.966495,155.37890625,6
Lenma,Thunderbird,50,0:01:05.057586,155.32421875,7
Lenma,Thunderbird,50,0:01:05.169214,155.015625,8
Lenma,Thunderbird,50,0:01:05.659485,153.91796875,9
Lenma,Thunderbird,50,0:01:04.801406,154.26171875,10
Lenma,Thunderbird,100,0:01:35.927315,207.84375,1
Lenma,Thunderbird,100,0:01:36.148567,207.53125,2
Lenma,Thunderbird,100,0:01:35.608162,207.83984375,3
Lenma,Thunderbird,100,0:01:35.675456,208.65625,4
Lenma,Thunderbird,100,0:01:35.301311,207.39453125,5
Lenma,Thunderbird,100,0:01:35.290184,208.58203125,6
Lenma,Thunderbird,100,0:01:35.366268,207.37109375,7
Lenma,Thunderbird,100,0:01:35.942989,207.51171875,8
Lenma,Thunderbird,100,0:01:35.611889,208.8671875,9
Lenma,Thunderbird,100,0:01:36.611334,208.68359375,10
Lenma,Thunderbird,200,0:03:00.515775,316.55859375,1
Lenma,Thunderbird,200,0:03:01.663050,315.59765625,2
Lenma,Thunderbird,200,0:03:00.124134,316.56640625,3
Lenma,Thunderbird,200,0:03:00.328722,316.09765625,4
Lenma,Thunderbird,200,0:03:00.026945,315.515625,5
Lenma,Thunderbird,200,0:03:00.519069,316.203125,6
Lenma,Thunderbird,200,0:03:00.426979,315.2265625,7
Lenma,Thunderbird,200,0:03:00.100286,316.109375,8
Lenma,Thunderbird,200,0:03:01.438497,315.234375,9
Lenma,Thunderbird,200,0:02:59.844173,315.2578125,10
Lenma,Thunderbird,300,0:05:06.335080,424.1640625,1
Lenma,Thunderbird,300,0:05:03.892268,424.453125,2
Lenma,Thunderbird,300,0:05:06.880495,424.90625,3
Lenma,Thunderbird,300,0:05:05.745054,423.76171875,4
Lenma,Thunderbird,300,0:05:03.930048,424.91796875,5
Lenma,Thunderbird,300,0:05:06.895115,424.2265625,6
Lenma,Thunderbird,300,0:05:04.881928,424.33984375,7
Lenma,Thunderbird,300,0:05:04.529982,424.78515625,8
Lenma,Thunderbird,300,0:05:04.224048,424.4375,9
Lenma,Thunderbird,300,0:05:04.801932,424.5234375,10
Lenma,Thunderbird,500,0:10:17.896849,622.30078125,1
Lenma,Thunderbird,500,0:10:24.453825,621.8359375,2
Lenma,Thunderbird,500,0:10:20.420113,622.125,3
Lenma,Thunderbird,500,0:10:18.193163,621.984375,4
Lenma,Thunderbird,500,0:10:22.607342,621.86328125,5
Lenma,Thunderbird,500,0:10:22.255615,622.5703125,6
Lenma,Thunderbird,500,0:10:23.731792,622.49609375,7
Lenma,Thunderbird,500,0:10:19.099464,621.8671875,8
Lenma,Thunderbird,500,0:10:19.950531,622.2890625,9
Lenma,Thunderbird,500,0:10:37.492480,622.5390625,10
Lenma,Thunderbird,1000,0:23:31.148805,1140.9609375,1
