method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Lenma,Windows,1,0:00:00.271327,104.31640625,1
Lenma,Windows,1,0:00:00.219628,104.55078125,2
Lenma,Windows,1,0:00:00.220960,104.6484375,3
Lenma,Windows,1,0:00:00.220590,104.609375,4
Lenma,Windows,1,0:00:00.214490,104.4765625,5
Lenma,Windows,1,0:00:00.222664,104.4296875,6
Lenma,Windows,1,0:00:00.214809,104.69140625,7
Lenma,Windows,1,0:00:00.220109,104.55078125,8
Lenma,Windows,1,0:00:00.215096,104.46875,9
Lenma,Windows,1,0:00:00.214866,104.68359375,10
Lenma,Windows,2,0:00:00.415278,105.03515625,1
Lenma,Windows,2,0:00:00.420308,104.83984375,2
Lenma,Windows,2,0:00:00.422739,105.328125,3
Lenma,Windows,2,0:00:00.416556,105.38671875,4
Lenma,Windows,2,0:00:00.422006,105.06640625,5
Lenma,Windows,2,0:00:00.414975,105.08203125,6
Lenma,Windows,2,0:00:00.412809,105.15625,7
Lenma,Windows,2,0:00:00.414318,104.9609375,8
Lenma,Windows,2,0:00:00.409724,104.9609375,9
Lenma,Windows,2,0:00:00.412267,105.11328125,10
Lenma,Windows,4,0:00:00.844617,106.5078125,1
Lenma,Windows,4,0:00:00.842768,106.19921875,2
Lenma,Windows,4,0:00:00.840273,106.3125,3
Lenma,Windows,4,0:00:00.851393,106.58203125,4
Lenma,Windows,4,0:00:00.843484,106.2109375,5
Lenma,Windows,4,0:00:00.844517,106.23046875,6
Lenma,Windows,4,0:00:00.838691,106.25,7
Lenma,Windows,4,0:00:00.851304,106.2734375,8
Lenma,Windows,4,0:00:00.846556,106.53515625,9
Lenma,Windows,4,0:00:00.843709,106.3203125,10
Lenma,Windows,10,0:00:02.013230,110.7421875,1
Lenma,Windows,10,0:00:02.004877,109.375,2
Lenma,Windows,10,0:00:02.000634,109.43359375,3
Lenma,Windows,10,0:00:02.009328,110.12890625,4
Lenma,Windows,10,0:00:02.018564,110.4453125,5
