method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,1
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,2
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,3
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,4
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,5
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,6
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,7
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,8
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,9
LogCluster,BGL,2,0.9989,0.9950,0.9970,0.8350,10
