method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogCluster,BGL,1,0:00:00.119323,88.7265625,1
LogCluster,BGL,1,0:00:00.119204,88.7734375,2
LogCluster,BGL,1,0:00:00.115584,88.73046875,3
LogCluster,BGL,1,0:00:00.117790,88.66796875,4
LogCluster,BGL,1,0:00:00.116467,88.59375,5
LogCluster,BGL,1,0:00:00.114042,88.50390625,6
LogCluster,BGL,1,0:00:00.115588,88.94921875,7
LogCluster,BGL,1,0:00:00.115002,88.8984375,8
LogCluster,BGL,1,0:00:00.115369,88.76171875,9
LogCluster,BGL,1,0:00:00.113003,88.55859375,10
LogCluster,BGL,2,0:00:00.216993,89.85546875,1
LogCluster,BGL,2,0:00:00.209941,89.984375,2
LogCluster,BGL,2,0:00:00.214972,89.67578125,3
LogCluster,BGL,2,0:00:00.210739,89.68359375,4
LogCluster,BGL,2,0:00:00.210319,89.67578125,5
LogCluster,BGL,2,0:00:00.212466,89.9375,6
LogCluster,BGL,2,0:00:00.217389,89.81640625,7
LogCluster,BGL,2,0:00:00.212373,90.05859375,8
LogCluster,BGL,2,0:00:00.212662,89.87890625,9
LogCluster,BGL,2,0:00:00.220169,89.83203125,10
LogCluster,BGL,4,0:00:00.192443,92.12890625,1
LogCluster,BGL,4,0:00:00.197105,92.3203125,2
LogCluster,BGL,4,0:00:00.202139,91.1796875,3
LogCluster,BGL,4,0:00:00.198900,92.2421875,4
LogCluster,BGL,4,0:00:00.202570,91.45703125,5
LogCluster,BGL,4,0:00:00.199935,92.21875,6
LogCluster,BGL,4,0:00:00.201943,91.02734375,7
LogCluster,BGL,4,0:00:00.202240,91.10546875,8
LogCluster,BGL,4,0:00:00.200341,92.28125,9
LogCluster,BGL,4,0:00:00.203211,91.125,10
LogCluster,BGL,10,0:00:00.408396,97.34375,1
LogCluster,BGL,10,0:00:00.427562,97.328125,2
LogCluster,BGL,10,0:00:00.407813,97.6796875,3
LogCluster,BGL,10,0:00:00.407929,97.71875,4
LogCluster,BGL,10,0:00:00.413052,97.48046875,5
LogCluster,BGL,10,0:00:00.410714,97.5546875,6
LogCluster,BGL,10,0:00:00.416221,97.28515625,7
LogCluster,BGL,10,0:00:00.409990,97.328125,8
LogCluster,BGL,10,0:00:00.412344,97.69921875,9
LogCluster,BGL,10,0:00:00.405269,97.3125,10
LogCluster,BGL,20,0:00:00.692765,105.6875,1
LogCluster,BGL,20,0:00:00.697157,105.8828125,2
LogCluster,BGL,20,0:00:00.694633,105.65234375,3
LogCluster,BGL,20,0:00:00.694139,105.65234375,4
LogCluster,BGL,20,0:00:00.694984,105.78125,5
LogCluster,BGL,20,0:00:00.694679,105.04296875,6
LogCluster,BGL,20,0:00:00.702779,104.93359375,7
LogCluster,BGL,20,0:00:00.688882,105.47265625,8
LogCluster,BGL,20,0:00:00.689526,105.74609375,9
LogCluster,BGL,20,0:00:00.689040,105.5,10
LogCluster,BGL,50,0:00:01.472252,131.09375,1
LogCluster,BGL,50,0:00:01.474069,130.75,2
LogCluster,BGL,50,0:00:01.475986,131.109375,3
LogCluster,BGL,50,0:00:01.477956,130.80078125,4
LogCluster,BGL,50,0:00:01.480237,130.71875,5
LogCluster,BGL,50,0:00:01.478051,131.078125,6
LogCluster,BGL,50,0:00:01.479871,130.75390625,7
LogCluster,BGL,50,0:00:01.478912,131.03125,8
LogCluster,BGL,50,0:00:01.471650,131.16015625,9
LogCluster,BGL,50,0:00:01.505071,130.90234375,10
LogCluster,BGL,100,0:00:03.075895,172.80859375,1
LogCluster,BGL,100,0:00:03.054460,172.6640625,2
LogCluster,BGL,100,0:00:03.056640,172.95703125,3
LogCluster,BGL,100,0:00:03.063492,172.69140625,4
LogCluster,BGL,100,0:00:03.061900,172.50390625,5
LogCluster,BGL,100,0:00:03.066955,172.88671875,6
LogCluster,BGL,100,0:00:03.060939,172.77734375,7
LogCluster,BGL,100,0:00:03.053627,172.92578125,8
LogCluster,BGL,100,0:00:03.064638,172.66015625,9
LogCluster,BGL,100,0:00:03.060636,172.95703125,10
LogCluster,BGL,200,0:00:06.618710,258.7734375,1
LogCluster,BGL,200,0:00:06.751086,260.33203125,2
LogCluster,BGL,200,0:00:06.608520,258.89453125,3
LogCluster,BGL,200,0:00:06.701371,258.8203125,4
LogCluster,BGL,200,0:00:06.620703,259.83203125,5
LogCluster,BGL,200,0:00:06.600065,258.9140625,6
LogCluster,BGL,200,0:00:06.592904,258.50390625,7
LogCluster,BGL,200,0:00:06.638082,258.515625,8
LogCluster,BGL,200,0:00:06.614585,258.65234375,9
LogCluster,BGL,200,0:00:06.601205,258.90625,10
LogCluster,BGL,300,0:00:08.936905,351.484375,1
LogCluster,BGL,300,0:00:08.914930,351.515625,2
LogCluster,BGL,300,0:00:08.894785,351.4921875,3
LogCluster,BGL,300,0:00:08.917540,351.44921875,4
LogCluster,BGL,300,0:00:08.881508,351.2734375,5
LogCluster,BGL,300,0:00:08.910056,351.796875,6
LogCluster,BGL,300,0:00:08.943611,351.55859375,7
LogCluster,BGL,300,0:00:08.874958,351.68359375,8
LogCluster,BGL,300,0:00:08.919712,351.13671875,9
LogCluster,BGL,300,0:00:08.850189,351.12890625,10
