method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogCluster,HDFS,1,0:00:00.126050,88.74609375,1
LogCluster,HDFS,1,0:00:00.124967,88.88671875,2
LogCluster,HDFS,1,0:00:00.130017,89.04296875,3
LogCluster,HDFS,1,0:00:00.130450,89.28515625,4
LogCluster,HDFS,1,0:00:00.113166,88.7109375,5
LogCluster,HDFS,1,0:00:00.130916,89.07421875,6
LogCluster,HDFS,1,0:00:00.126579,89.0234375,7
LogCluster,HDFS,1,0:00:00.128052,88.8359375,8
LogCluster,HDFS,1,0:00:00.125248,89.21875,9
LogCluster,HDFS,1,0:00:00.125699,89.02734375,10
LogCluster,HDFS,2,0:00:00.221693,89.69921875,1
LogCluster,HDFS,2,0:00:00.206405,89.49609375,2
LogCluster,HDFS,2,0:00:00.203532,89.234375,3
LogCluster,HDFS,2,0:00:00.200326,90.6171875,4
LogCluster,HDFS,2,0:00:00.195723,90.66796875,5
LogCluster,HDFS,2,0:00:00.198984,90.8515625,6
LogCluster,HDFS,2,0:00:00.200030,90.51171875,7
LogCluster,HDFS,2,0:00:00.198838,90.83984375,8
LogCluster,HDFS,2,0:00:00.198176,90.65625,9
LogCluster,HDFS,2,0:00:00.200327,90.83984375,10
LogCluster,HDFS,4,0:00:00.228230,90.546875,1
LogCluster,HDFS,4,0:00:00.220022,90.56640625,2
LogCluster,HDFS,4,0:00:00.222241,90.390625,3
LogCluster,HDFS,4,0:00:00.226102,90.3515625,4
LogCluster,HDFS,4,0:00:00.223901,90.69921875,5
LogCluster,HDFS,4,0:00:00.221669,90.4921875,6
LogCluster,HDFS,4,0:00:00.226634,90.546875,7
LogCluster,HDFS,4,0:00:00.222289,90.59765625,8
LogCluster,HDFS,4,0:00:00.222785,90.73828125,9
LogCluster,HDFS,4,0:00:00.224167,90.53125,10
LogCluster,HDFS,10,0:00:00.486077,95.734375,1
LogCluster,HDFS,10,0:00:00.480508,95.40234375,2
LogCluster,HDFS,10,0:00:00.480815,95.2890625,3
LogCluster,HDFS,10,0:00:00.480101,95.27734375,4
LogCluster,HDFS,10,0:00:00.481026,95.4453125,5
LogCluster,HDFS,10,0:00:00.479228,95.41015625,6
LogCluster,HDFS,10,0:00:00.481585,95.703125,7
LogCluster,HDFS,10,0:00:00.478451,95.4609375,8
LogCluster,HDFS,10,0:00:00.482051,95.4140625,9
LogCluster,HDFS,10,0:00:00.484662,95.453125,10
LogCluster,HDFS,20,0:00:01.085846,102.27734375,1
LogCluster,HDFS,20,0:00:01.081933,102.109375,2
LogCluster,HDFS,20,0:00:01.075170,101.87109375,3
LogCluster,HDFS,20,0:00:01.076810,102.08203125,4
LogCluster,HDFS,20,0:00:01.082282,101.89453125,5
LogCluster,HDFS,20,0:00:01.084769,102.171875,6
LogCluster,HDFS,20,0:00:01.077292,101.921875,7
LogCluster,HDFS,20,0:00:01.080309,101.93359375,8
LogCluster,HDFS,20,0:00:01.079313,101.90234375,9
LogCluster,HDFS,20,0:00:01.074556,101.875,10
LogCluster,HDFS,50,0:00:02.514978,123.046875,1
LogCluster,HDFS,50,0:00:02.519672,122.9765625,2
LogCluster,HDFS,50,0:00:02.511331,125.15234375,3
LogCluster,HDFS,50,0:00:02.518214,122.8203125,4
LogCluster,HDFS,50,0:00:02.509278,122.66796875,5
LogCluster,HDFS,50,0:00:02.515205,123.0859375,6
LogCluster,HDFS,50,0:00:02.522768,122.765625,7
LogCluster,HDFS,50,0:00:02.514268,122.8125,8
LogCluster,HDFS,50,0:00:02.520485,122.8359375,9
LogCluster,HDFS,50,0:00:02.507479,122.859375,10
LogCluster,HDFS,100,0:00:05.196643,162.41015625,1
LogCluster,HDFS,100,0:00:05.202223,162.6875,2
LogCluster,HDFS,100,0:00:05.182683,162.84765625,3
LogCluster,HDFS,100,0:00:05.169749,162.69921875,4
LogCluster,HDFS,100,0:00:05.158202,162.58203125,5
LogCluster,HDFS,100,0:00:05.180623,162.60546875,6
LogCluster,HDFS,100,0:00:05.185374,162.88671875,7
LogCluster,HDFS,100,0:00:05.207150,162.50390625,8
LogCluster,HDFS,100,0:00:05.185772,162.81640625,9
LogCluster,HDFS,100,0:00:05.179012,162.8046875,10
LogCluster,HDFS,200,0:00:10.247343,238.2578125,1
LogCluster,HDFS,200,0:00:10.339766,238.3046875,2
LogCluster,HDFS,200,0:00:10.262256,238.30859375,3
LogCluster,HDFS,200,0:00:10.318545,238.1484375,4
LogCluster,HDFS,200,0:00:10.269685,238.42578125,5
LogCluster,HDFS,200,0:00:10.288204,238.30078125,6
LogCluster,HDFS,200,0:00:10.257845,238.4609375,7
LogCluster,HDFS,200,0:00:10.432783,238.65234375,8
LogCluster,HDFS,200,0:00:10.304924,238.15625,9
LogCluster,HDFS,200,0:00:10.353465,238.2890625,10
LogCluster,HDFS,300,0:00:15.509056,299.03125,1
LogCluster,HDFS,300,0:00:15.503030,299.30859375,2
LogCluster,HDFS,300,0:00:15.629317,299.3671875,3
LogCluster,HDFS,300,0:00:15.419575,299.15234375,4
LogCluster,HDFS,300,0:00:15.415613,299.05078125,5
LogCluster,HDFS,300,0:00:15.577510,299.3359375,6
LogCluster,HDFS,300,0:00:15.389556,298.98828125,7
LogCluster,HDFS,300,0:00:15.446903,299.00390625,8
LogCluster,HDFS,300,0:00:15.475550,298.984375,9
LogCluster,HDFS,300,0:00:15.506478,298.828125,10
LogCluster,HDFS,500,0:00:29.428118,463.625,1
LogCluster,HDFS,500,0:00:29.427961,463.62109375,2
LogCluster,HDFS,500,0:00:29.389971,463.84765625,3
LogCluster,HDFS,500,0:00:29.351171,463.578125,4
LogCluster,HDFS,500,0:00:29.552601,463.6171875,5
LogCluster,HDFS,500,0:00:29.371199,463.88671875,6
LogCluster,HDFS,500,0:00:29.362234,463.83203125,7
LogCluster,HDFS,500,0:00:29.351440,463.5703125,8
LogCluster,HDFS,500,0:00:29.298419,463.58203125,9
LogCluster,HDFS,500,0:00:29.340641,463.60546875,10
LogCluster,HDFS,1000,0:01:08.529115,805.28125,1
LogCluster,HDFS,1000,0:01:08.433640,805.6953125,2
LogCluster,HDFS,1000,0:01:08.483474,805.328125,3
LogCluster,HDFS,1000,0:01:08.455246,805.16015625,4
LogCluster,HDFS,1000,0:01:08.504007,805.28125,5
LogCluster,HDFS,1000,0:01:08.790675,805.33984375,6
LogCluster,HDFS,1000,0:01:08.704106,805.53515625,7
LogCluster,HDFS,1000,0:01:08.669407,805.19140625,8
LogCluster,HDFS,1000,0:01:08.773410,805.578125,9
LogCluster,HDFS,1000,0:01:08.117842,805.1640625,10
