method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,1
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,2
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,3
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,4
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,5
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,6
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,7
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,8
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,9
LogCluster,Thunderbird,2,0.9991,0.9954,0.9972,0.5985,10
