method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogMine,Android,1,0:00:01.677581,90.48046875,1
LogMine,Android,1,0:00:01.662190,90.37109375,2
LogMine,Android,1,0:00:01.686451,90.640625,3
LogMine,Android,1,0:00:01.675683,90.42578125,4
LogMine,Android,1,0:00:01.677247,90.1640625,5
LogMine,Android,1,0:00:01.675708,90.6171875,6
LogMine,Android,1,0:00:01.682966,90.6328125,7
LogMine,Android,1,0:00:01.680790,90.45703125,8
LogMine,Android,1,0:00:01.674647,90.12890625,9
LogMine,Android,1,0:00:01.670950,90.1171875,10
LogMine,Android,2,0:00:07.282224,92.20703125,1
LogMine,Android,2,0:00:07.252200,92.54296875,2
LogMine,Android,2,0:00:07.301595,92.2109375,3
LogMine,Android,2,0:00:07.232917,92.453125,4
LogMine,Android,2,0:00:07.278496,92.546875,5
LogMine,Android,2,0:00:07.279039,92.34375,6
LogMine,Android,2,0:00:07.314453,92.28125,7
LogMine,Android,2,0:00:07.271019,92.1328125,8
LogMine,Android,2,0:00:07.252887,92.71875,9
LogMine,Android,2,0:00:07.268382,92.6328125,10
LogMine,Android,4,0:00:23.703448,99.2578125,1
LogMine,Android,4,0:00:23.652628,96.296875,2
LogMine,Android,4,0:00:23.631283,96.296875,3
LogMine,Android,4,0:00:23.628733,96.48828125,4
LogMine,Android,4,0:00:23.781122,96.5703125,5
LogMine,Android,4,0:00:23.619388,97.0546875,6
LogMine,Android,4,0:00:23.725115,96.8828125,7
LogMine,Android,4,0:00:23.772575,96.33203125,8
LogMine,Android,4,0:00:23.654704,96.2734375,9
LogMine,Android,4,0:00:23.689732,97.44140625,10
LogMine,Android,20,0:09:14.051078,134.15625,1
LogMine,Android,20,0:09:12.296625,134.27734375,2
LogMine,Android,20,0:09:13.612745,134.42578125,3
LogMine,Android,20,0:09:15.017036,134.96875,4
LogMine,Android,20,0:09:17.606812,134.08203125,5
LogMine,Android,20,0:09:15.062810,134.83984375,6
LogMine,Android,20,0:09:14.271531,134.13671875,7
LogMine,Android,20,0:09:15.450537,134.078125,8
LogMine,Android,20,0:09:19.445233,134.57421875,9
LogMine,Android,20,0:09:16.451356,134.36328125,10
