method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogMine,BGL,1,0:00:01.328722,90.20703125,1
LogMine,BGL,1,0:00:01.328242,90.453125,2
LogMine,BGL,1,0:00:01.348732,90.75390625,3
LogMine,BGL,1,0:00:01.338867,90.7578125,4
LogMine,BGL,1,0:00:01.332323,90.4375,5
LogMine,BGL,1,0:00:01.336819,90.4921875,6
LogMine,BGL,1,0:00:01.339991,90.3671875,7
LogMine,BGL,1,0:00:01.341430,90.796875,8
LogMine,BGL,1,0:00:01.335918,90.6640625,9
LogMine,BGL,1,0:00:01.336973,90.3046875,10
LogMine,BGL,2,0:00:03.446885,91.89453125,1
LogMine,BGL,2,0:00:03.451342,91.55078125,2
LogMine,BGL,2,0:00:03.463000,91.3984375,3
LogMine,BGL,2,0:00:03.457329,91.44921875,4
LogMine,BGL,2,0:00:03.461774,91.91015625,5
LogMine,BGL,2,0:00:03.456444,91.63671875,6
LogMine,BGL,2,0:00:03.473789,91.453125,7
LogMine,BGL,2,0:00:03.426455,91.54296875,8
LogMine,BGL,2,0:00:03.452785,91.52734375,9
LogMine,BGL,2,0:00:03.421408,91.9453125,10
LogMine,BGL,4,0:00:19.769608,96.80078125,1
LogMine,BGL,4,0:00:19.717468,96.7265625,2
LogMine,BGL,4,0:00:19.955814,96.76171875,3
LogMine,BGL,4,0:00:19.940631,96.78125,4
LogMine,BGL,4,0:00:19.699249,96.80859375,5
LogMine,BGL,4,0:00:19.742628,96.7421875,6
LogMine,BGL,4,0:00:19.763024,96.4921875,7
LogMine,BGL,4,0:00:19.801768,97.125,8
LogMine,BGL,4,0:00:19.750587,96.55078125,9
LogMine,BGL,4,0:00:19.779200,97.4453125,10
LogMine,BGL,10,0:01:55.282368,110.125,1
LogMine,BGL,10,0:01:55.892806,112.4453125,2
LogMine,BGL,10,0:01:54.924428,109.34765625,3
LogMine,BGL,10,0:01:54.641449,110.4765625,4
LogMine,BGL,10,0:01:55.712625,111.44140625,5
LogMine,BGL,10,0:01:55.264053,110.42578125,6
LogMine,BGL,10,0:01:55.442006,110.80859375,7
LogMine,BGL,10,0:01:56.438690,109.921875,8
LogMine,BGL,10,0:01:56.477031,110.53515625,9
LogMine,BGL,10,0:01:55.700987,110.90625,10
LogMine,BGL,20,0:05:48.582315,123.78125,1
LogMine,BGL,20,0:05:50.327584,123.40625,2
LogMine,BGL,20,0:05:50.007420,124.2421875,3
LogMine,BGL,20,0:05:48.878318,124.14453125,4
LogMine,BGL,20,0:05:48.854888,124.54296875,5
LogMine,BGL,20,0:05:48.100580,124.49609375,6
LogMine,BGL,20,0:05:48.744527,124.30078125,7
LogMine,BGL,20,0:05:47.762885,123.92578125,8
LogMine,BGL,20,0:05:45.874506,124.01171875,9
LogMine,BGL,20,0:05:48.837825,123.83203125,10
