method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,1
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,2
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,3
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,4
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,5
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,6
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,7
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,8
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,9
LogMine,HDFS,2,0.9977,1.0000,0.9988,0.8505,10
