method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogMine,Thunderbird,1,0:00:01.714404,90.35546875,1
LogMine,Thunderbird,1,0:00:01.708474,90.5703125,2
LogMine,Thunderbird,1,0:00:01.715862,90.578125,3
LogMine,Thunderbird,1,0:00:01.717124,90.53125,4
LogMine,Thunderbird,1,0:00:01.719078,90.3671875,5
LogMine,Thunderbird,1,0:00:01.710109,90.42578125,6
LogMine,Thunderbird,1,0:00:01.709551,90.515625,7
LogMine,Thunderbird,1,0:00:01.717914,90.4609375,8
LogMine,Thunderbird,1,0:00:01.704487,90.265625,9
LogMine,Thunderbird,1,0:00:01.717404,90.60546875,10
LogMine,Thunderbird,2,0:00:07.845694,92.73828125,1
LogMine,Thunderbird,2,0:00:07.894216,92.4453125,2
LogMine,Thunderbird,2,0:00:07.830716,93.02734375,3
LogMine,Thunderbird,2,0:00:07.801013,92.6328125,4
LogMine,Thunderbird,2,0:00:07.824052,92.54296875,5
LogMine,Thunderbird,2,0:00:07.828580,92.8125,6
LogMine,Thunderbird,2,0:00:07.812335,92.3046875,7
LogMine,Thunderbird,2,0:00:07.960174,92.84375,8
LogMine,Thunderbird,2,0:00:07.930596,92.75,9
LogMine,Thunderbird,2,0:00:07.839282,92.9296875,10
LogMine,Thunderbird,4,0:00:29.080613,97.26953125,1
LogMine,Thunderbird,4,0:00:28.974070,97.0,2
LogMine,Thunderbird,4,0:00:28.889582,97.05859375,3
LogMine,Thunderbird,4,0:00:28.828346,97.9921875,4
LogMine,Thunderbird,4,0:00:29.089123,96.94140625,5
LogMine,Thunderbird,4,0:00:28.970509,96.7734375,6
LogMine,Thunderbird,4,0:00:29.145305,97.06640625,7
LogMine,Thunderbird,4,0:00:28.858489,96.91015625,8
LogMine,Thunderbird,4,0:00:28.969769,97.01171875,9
LogMine,Thunderbird,4,0:00:29.091513,97.19140625,10
LogMine,Thunderbird,10,0:03:00.581998,113.77734375,1
LogMine,Thunderbird,10,0:03:00.526205,113.03515625,2
LogMine,Thunderbird,10,0:03:01.331362,112.7734375,3
LogMine,Thunderbird,10,0:03:00.188709,114.30078125,4
LogMine,Thunderbird,10,0:03:00.934028,112.59765625,5
LogMine,Thunderbird,10,0:03:00.670344,114.16015625,6
LogMine,Thunderbird,10,0:03:00.638721,114.234375,7
LogMine,Thunderbird,10,0:03:01.599407,114.70703125,8
LogMine,Thunderbird,10,0:03:00.806698,114.2421875,9
LogMine,Thunderbird,10,0:03:00.671580,114.10546875,10
LogMine,Thunderbird,20,0:11:00.613097,147.171875,1
LogMine,Thunderbird,20,0:11:02.730022,146.11328125,2
LogMine,Thunderbird,20,0:10:59.810860,147.56640625,3
LogMine,Thunderbird,20,0:10:58.512199,146.1171875,4
LogMine,Thunderbird,20,0:11:01.426404,146.34375,5
LogMine,Thunderbird,20,0:10:58.838275,147.29296875,6
LogMine,Thunderbird,20,0:10:59.857651,147.3515625,7
LogMine,Thunderbird,20,0:10:58.456664,146.265625,8
LogMine,Thunderbird,20,0:10:58.532861,146.96875,9
LogMine,Thunderbird,20,0:10:59.140296,146.1953125,10
