method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogSig,OpenSSH,1,0:00:04.473262,91.54296875,1
LogSig,OpenSSH,1,0:00:04.333486,92.03125,2
LogSig,OpenSSH,1,0:00:04.429740,92.34765625,3
LogSig,OpenSSH,1,0:00:04.428612,92.16015625,4
LogSig,OpenSSH,1,0:00:04.422483,92.5546875,5
LogSig,OpenSSH,1,0:00:04.416851,92.58984375,6
LogSig,OpenSSH,1,0:00:04.424267,92.109375,7
LogSig,OpenSSH,1,0:00:04.367400,91.84765625,8
LogSig,OpenSSH,1,0:00:04.370217,91.4453125,9
LogSig,OpenSSH,1,0:00:04.475632,91.57421875,10
LogSig,OpenSSH,2,0:00:12.601687,96.06640625,1
LogSig,OpenSSH,2,0:00:12.390371,95.95703125,2
LogSig,OpenSSH,2,0:00:12.658475,96.76171875,3
LogSig,OpenSSH,2,0:00:12.505925,95.890625,4
LogSig,OpenSSH,2,0:00:12.501755,96.19140625,5
LogSig,OpenSSH,2,0:00:12.711976,96.3515625,6
LogSig,OpenSSH,2,0:00:12.447797,97.01953125,7
LogSig,OpenSSH,2,0:00:12.341465,97.12109375,8
LogSig,OpenSSH,2,0:00:12.571516,96.98046875,9
LogSig,OpenSSH,2,0:00:12.403948,96.6796875,10
LogSig,OpenSSH,4,0:00:19.069848,106.328125,1
LogSig,OpenSSH,4,0:00:18.694545,105.72265625,2
LogSig,OpenSSH,4,0:00:18.995516,105.734375,3
LogSig,OpenSSH,4,0:00:18.615470,104.5078125,4
LogSig,OpenSSH,4,0:00:18.269812,106.1015625,5
LogSig,OpenSSH,4,0:00:18.636935,104.70703125,6
LogSig,OpenSSH,4,0:00:18.546825,104.43359375,7
LogSig,OpenSSH,4,0:00:18.672082,106.2265625,8
LogSig,OpenSSH,4,0:00:18.682849,106.35546875,9
LogSig,OpenSSH,4,0:00:18.892727,105.703125,10
LogSig,OpenSSH,10,0:01:02.020525,129.3671875,1
LogSig,OpenSSH,10,0:01:02.382530,128.1171875,2
LogSig,OpenSSH,10,0:01:01.655542,128.41015625,3
LogSig,OpenSSH,10,0:01:02.216129,126.515625,4
LogSig,OpenSSH,10,0:01:02.067170,128.6484375,5
LogSig,OpenSSH,10,0:01:02.143747,129.265625,6
LogSig,OpenSSH,10,0:01:02.857825,129.01171875,7
LogSig,OpenSSH,10,0:01:03.129852,129.16796875,8
LogSig,OpenSSH,10,0:01:01.880008,127.67578125,9
LogSig,OpenSSH,10,0:01:02.104193,125.51953125,10
LogSig,OpenSSH,20,0:01:18.641993,177.94140625,1
LogSig,OpenSSH,20,0:01:16.793948,177.859375,2
LogSig,OpenSSH,20,0:01:17.601219,178.296875,3
LogSig,OpenSSH,20,0:01:17.787794,177.78515625,4
LogSig,OpenSSH,20,0:01:16.829582,178.18359375,5
LogSig,OpenSSH,20,0:01:18.652597,177.91796875,6
LogSig,OpenSSH,20,0:01:17.865447,177.09375,7
LogSig,OpenSSH,20,0:01:18.736513,177.94140625,8
LogSig,OpenSSH,20,0:01:17.157383,177.4609375,9
LogSig,OpenSSH,20,0:01:16.796054,178.16015625,10
LogSig,OpenSSH,50,0:03:56.248677,299.12109375,1
LogSig,OpenSSH,50,0:03:58.328677,299.28515625,2
LogSig,OpenSSH,50,0:03:54.977383,299.17578125,3
LogSig,OpenSSH,50,0:03:54.237933,299.5625,4
LogSig,OpenSSH,50,0:03:54.806465,299.33203125,5
LogSig,OpenSSH,50,0:03:54.159017,299.1796875,6
LogSig,OpenSSH,50,0:03:54.073064,299.5390625,7
LogSig,OpenSSH,50,0:03:51.327050,299.39453125,8
LogSig,OpenSSH,50,0:03:58.733443,299.45703125,9
LogSig,OpenSSH,50,0:03:58.663054,299.44140625,10
LogSig,OpenSSH,100,0:07:29.866011,482.04296875,1
LogSig,OpenSSH,100,0:07:18.265140,481.890625,2
LogSig,OpenSSH,100,0:07:15.186844,482.26953125,3
LogSig,OpenSSH,100,0:07:12.494493,481.95703125,4
LogSig,OpenSSH,100,0:07:23.151344,481.765625,5
LogSig,OpenSSH,100,0:07:19.628974,481.84765625,6
LogSig,OpenSSH,100,0:07:24.197725,481.99609375,7
LogSig,OpenSSH,100,0:07:21.010133,482.3359375,8
LogSig,OpenSSH,100,0:07:19.892078,481.765625,9
LogSig,OpenSSH,100,0:07:22.081270,481.99609375,10
LogSig,OpenSSH,200,0:14:22.410537,841.0546875,1
LogSig,OpenSSH,200,0:14:37.397052,841.125,2
LogSig,OpenSSH,200,0:14:31.828508,841.1015625,3
LogSig,OpenSSH,200,0:14:29.455901,841.11328125,4
LogSig,OpenSSH,200,0:14:17.148637,840.859375,5
LogSig,OpenSSH,200,0:14:21.387519,841.35546875,6
LogSig,OpenSSH,200,0:14:33.179190,840.9453125,7
LogSig,OpenSSH,200,0:14:38.927945,841.19140625,8
LogSig,OpenSSH,200,0:14:17.198210,841.046875,9
LogSig,OpenSSH,200,0:14:38.660402,841.56640625,10
