method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogSig,Windows,1,0:00:04.455456,91.35546875,1
LogSig,Windows,1,0:00:04.475840,91.7734375,2
LogSig,Windows,1,0:00:04.396524,91.3203125,3
LogSig,Windows,1,0:00:04.491996,91.55859375,4
LogSig,Windows,1,0:00:04.346083,91.81640625,5
LogSig,Windows,1,0:00:04.430262,92.0390625,6
LogSig,Windows,1,0:00:04.327337,92.13671875,7
LogSig,Windows,1,0:00:04.505526,91.765625,8
LogSig,Windows,1,0:00:04.488623,91.6875,9
LogSig,Windows,1,0:00:04.379104,91.89453125,10
LogSig,Windows,2,0:00:32.511313,96.4296875,1
LogSig,Windows,2,0:00:32.505577,95.86328125,2
LogSig,Windows,2,0:00:32.388438,95.875,3
LogSig,Windows,2,0:00:33.117650,97.1796875,4
LogSig,Windows,2,0:00:32.668117,96.39453125,5
LogSig,Windows,2,0:00:32.654335,96.49609375,6
LogSig,Windows,2,0:00:32.643789,96.3515625,7
LogSig,Windows,2,0:00:32.855487,95.69140625,8
LogSig,Windows,2,0:00:32.551967,96.4765625,9
LogSig,Windows,2,0:00:32.896289,95.91796875,10
LogSig,Windows,4,0:00:17.486011,104.55859375,1
LogSig,Windows,4,0:00:17.451831,103.125,2
LogSig,Windows,4,0:00:17.414365,103.2890625,3
LogSig,Windows,4,0:00:17.250215,102.921875,4
LogSig,Windows,4,0:00:17.339572,103.0625,5
LogSig,Windows,4,0:00:17.741016,102.8671875,6
LogSig,Windows,4,0:00:17.318777,103.05859375,7
LogSig,Windows,4,0:00:17.491033,104.515625,8
LogSig,Windows,4,0:00:17.372027,104.33984375,9
LogSig,Windows,4,0:00:17.249591,103.30859375,10
LogSig,Windows,10,0:00:35.233229,127.49609375,1
LogSig,Windows,10,0:00:35.161743,126.734375,2
LogSig,Windows,10,0:00:35.638274,127.26953125,3
LogSig,Windows,10,0:00:34.979464,126.38671875,4
LogSig,Windows,10,0:00:35.928102,124.2265625,5
LogSig,Windows,10,0:00:35.984044,126.25390625,6
LogSig,Windows,10,0:00:36.786937,126.32421875,7
LogSig,Windows,10,0:00:36.941690,127.25,8
LogSig,Windows,10,0:00:36.324240,124.5703125,9
LogSig,Windows,10,0:00:35.811302,126.21875,10
LogSig,Windows,20,0:01:28.225704,172.66015625,1
LogSig,Windows,20,0:01:28.619549,172.21875,2
LogSig,Windows,20,0:01:30.527619,172.125,3
LogSig,Windows,20,0:01:30.203446,172.45703125,4
LogSig,Windows,20,0:01:29.611770,172.6328125,5
LogSig,Windows,20,0:01:28.468987,172.8125,6
LogSig,Windows,20,0:01:30.295315,172.66015625,7
LogSig,Windows,20,0:01:29.315480,171.734375,8
LogSig,Windows,20,0:01:28.437035,172.76953125,9
LogSig,Windows,20,0:01:30.165037,172.48828125,10
LogSig,Windows,50,0:04:55.752766,344.35546875,1
LogSig,Windows,50,0:05:01.447488,343.96875,2
LogSig,Windows,50,0:05:00.044754,344.20703125,3
LogSig,Windows,50,0:04:57.369219,344.19140625,4
LogSig,Windows,50,0:04:55.724317,344.12890625,5
LogSig,Windows,50,0:05:02.877787,344.23046875,6
LogSig,Windows,50,0:05:01.602689,344.046875,7
LogSig,Windows,50,0:04:55.007143,344.453125,8
LogSig,Windows,50,0:04:59.383178,344.22265625,9
LogSig,Windows,50,0:04:57.802230,344.06640625,10
LogSig,Windows,100,0:09:18.873921,612.30078125,1
LogSig,Windows,100,0:09:18.670587,612.34375,2
LogSig,Windows,100,0:09:13.995936,612.34765625,3
LogSig,Windows,100,0:09:26.368687,612.0234375,4
LogSig,Windows,100,0:09:09.450729,612.7890625,5
LogSig,Windows,100,0:09:12.568657,612.05078125,6
LogSig,Windows,100,0:09:22.925699,612.58203125,7
LogSig,Windows,100,0:09:03.190468,612.25,8
LogSig,Windows,100,0:09:14.917504,613.296875,9
LogSig,Windows,100,0:09:17.009557,612.53125,10
LogSig,Windows,200,0:26:11.885195,1308.859375,1
LogSig,Windows,200,0:26:33.154851,1309.25,2
LogSig,Windows,200,0:26:15.732499,1309.03515625,3
LogSig,Windows,200,0:26:12.384548,1309.078125,4
LogSig,Windows,200,0:26:26.870271,1309.15625,5
LogSig,Windows,200,0:26:13.049331,1308.8203125,6
LogSig,Windows,200,0:26:43.913558,1308.8984375,7
LogSig,Windows,200,0:26:47.181762,1308.953125,8
LogSig,Windows,200,0:26:44.791818,1308.5546875,9
LogSig,Windows,200,0:26:35.051359,1308.4453125,10
