method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
MoLFI,BGL,2,0.9988,0.9997,0.9993,0.9445,1
MoLFI,BGL,2,0.9995,0.9997,0.9996,0.9615,2
MoLFI,BGL,2,0.9994,0.9996,0.9995,0.9525,3
MoLFI,BGL,2,0.9988,0.9997,0.9992,0.9400,4
MoLFI,BGL,2,0.9994,0.9997,0.9995,0.9600,5
MoLFI,BGL,2,1.0000,0.9996,0.9998,0.9695,6
MoLFI,BGL,2,0.9989,0.9997,0.9993,0.9475,7
MoLFI,BGL,2,0.9999,0.9997,0.9998,0.9680,8
MoLFI,BGL,2,0.9989,0.9997,0.9993,0.9500,9
MoLFI,BGL,2,1.0000,0.9996,0.9998,0.9715,10
