method,dataset,log_size,elapsed_time,peak_memory,iteration_no
MoLFI,BGL,1,0:00:00.629717,100.76953125,1
MoLFI,BGL,1,0:00:00.629994,100.7109375,2
MoLFI,BGL,1,0:00:00.632741,100.42578125,3
MoLFI,BGL,1,0:00:00.630005,100.59375,4
MoLFI,BGL,1,0:00:00.636564,100.37109375,5
MoLFI,BGL,1,0:00:00.633459,100.4296875,6
MoLFI,BGL,1,0:00:00.633614,100.47265625,7
MoLFI,BGL,1,0:00:00.623452,100.75390625,8
MoLFI,BGL,1,0:00:00.629744,100.37109375,9
MoLFI,BGL,1,0:00:00.632180,100.48828125,10
MoLFI,BGL,2,0:00:21.680011,106.32421875,1
MoLFI,BGL,2,0:00:20.703861,106.89453125,2
MoLFI,BGL,2,0:00:21.322832,106.83984375,3
MoLFI,BGL,2,0:00:21.848499,106.80078125,4
MoLFI,BGL,2,0:00:21.995173,106.4453125,5
MoLFI,BGL,2,0:00:21.546379,106.65234375,6
MoLFI,BGL,2,0:00:22.349859,106.69140625,7
MoLFI,BGL,2,0:00:22.140874,106.375,8
MoLFI,BGL,2,0:00:21.039752,106.28515625,9
MoLFI,BGL,2,0:00:22.103995,106.8203125,10
MoLFI,BGL,4,0:00:00.983540,103.34765625,1
MoLFI,BGL,4,0:00:00.979044,103.0625,2
MoLFI,BGL,4,0:00:00.986597,103.78125,3
MoLFI,BGL,4,0:00:00.976176,103.4765625,4
MoLFI,BGL,4,0:00:00.987080,103.55859375,5
MoLFI,BGL,4,0:00:00.972571,103.65234375,6
MoLFI,BGL,4,0:00:00.988459,103.82421875,7
MoLFI,BGL,4,0:00:00.975014,103.2734375,8
MoLFI,BGL,4,0:00:00.970442,103.07421875,9
MoLFI,BGL,4,0:00:00.978261,103.6640625,10
MoLFI,BGL,10,0:00:04.362301,109.69921875,1
MoLFI,BGL,10,0:00:04.376235,109.31640625,2
MoLFI,BGL,10,0:00:04.397809,108.7890625,3
MoLFI,BGL,10,0:00:04.369504,109.66796875,4
MoLFI,BGL,10,0:00:04.351425,110.21875,5
MoLFI,BGL,10,0:00:04.390153,108.8359375,6
MoLFI,BGL,10,0:00:04.340135,110.41015625,7
MoLFI,BGL,10,0:00:04.351824,109.98046875,8
MoLFI,BGL,10,0:00:04.365105,109.4296875,9
MoLFI,BGL,10,0:00:04.463740,109.8984375,10
MoLFI,BGL,20,0:00:06.427770,120.38671875,1
MoLFI,BGL,20,0:00:06.484025,120.484375,2
MoLFI,BGL,20,0:00:06.401451,119.640625,3
MoLFI,BGL,20,0:00:06.375362,120.38671875,4
MoLFI,BGL,20,0:00:06.265600,120.3984375,5
MoLFI,BGL,20,0:00:06.587798,120.53515625,6
MoLFI,BGL,20,0:00:06.474359,120.5390625,7
MoLFI,BGL,20,0:00:06.518982,119.60546875,8
MoLFI,BGL,20,0:00:06.659540,120.16796875,9
MoLFI,BGL,20,0:00:06.441401,120.34375,10
MoLFI,BGL,50,0:00:16.478039,147.1171875,1
MoLFI,BGL,50,0:00:15.708000,147.421875,2
MoLFI,BGL,50,0:00:15.797424,147.12109375,3
MoLFI,BGL,50,0:00:16.091726,147.04296875,4
MoLFI,BGL,50,0:00:16.533036,146.875,5
MoLFI,BGL,50,0:00:16.679692,146.87109375,6
MoLFI,BGL,50,0:00:15.968469,147.23828125,7
MoLFI,BGL,50,0:00:15.670632,147.31640625,8
MoLFI,BGL,50,0:00:15.874187,147.1171875,9
MoLFI,BGL,50,0:00:15.847278,147.46875,10
