method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
MoLFI,Thunderbird,2,0.9998,0.9976,0.9987,0.6590,1
MoLFI,Thunderbird,2,0.9998,0.9975,0.9986,0.6480,2
MoLFI,Thunderbird,2,0.9998,0.9975,0.9987,0.6580,3
MoLFI,Thunderbird,2,0.9998,0.9974,0.9986,0.6475,4
MoLFI,Thunderbird,2,0.9998,0.9974,0.9986,0.6435,5
MoLFI,Thunderbird,2,0.9998,0.9975,0.9986,0.6565,6
MoLFI,Thunderbird,2,0.9998,0.9973,0.9986,0.6385,7
MoLFI,Thunderbird,2,0.9998,0.9975,0.9987,0.6500,8
MoLFI,Thunderbird,2,0.9998,0.9974,0.9986,0.6475,9
MoLFI,Thunderbird,2,0.9998,0.9975,0.9986,0.6535,10
