method,dataset,log_size,elapsed_time,peak_memory,iteration_no
MoLFI,Thunderbird,1,0:00:35.980749,108.89453125,1
MoLFI,Thunderbird,1,0:00:36.888530,109.08203125,2
MoLFI,Thunderbird,1,0:00:36.023875,108.8671875,3
MoLFI,Thunderbird,1,0:00:34.820590,108.99609375,4
MoLFI,Thunderbird,1,0:00:35.942436,108.92578125,5
MoLFI,Thunderbird,1,0:00:36.009351,109.28125,6
MoLFI,Thunderbird,1,0:00:35.928103,108.8359375,7
MoLFI,Thunderbird,1,0:00:35.462940,108.78125,8
MoLFI,Thunderbird,1,0:00:35.872475,109.046875,9
MoLFI,Thunderbird,1,0:00:36.304100,109.23828125,10
MoLFI,Thunderbird,2,0:00:37.714807,109.34765625,1
MoLFI,Thunderbird,2,0:00:37.774578,109.546875,2
MoLFI,Thunderbird,2,0:00:38.236683,109.48046875,3
MoLFI,Thunderbird,2,0:00:38.215224,109.5,4
MoLFI,Thunderbird,2,0:00:38.381837,109.68359375,5
MoLFI,Thunderbird,2,0:00:38.402959,109.40625,6
MoLFI,Thunderbird,2,0:00:38.573280,109.34765625,7
MoLFI,Thunderbird,2,0:00:37.382989,109.35546875,8
MoLFI,Thunderbird,2,0:00:37.916260,109.265625,9
MoLFI,Thunderbird,2,0:00:37.946323,109.36328125,10
MoLFI,Thunderbird,4,0:01:10.314222,119.87109375,1
MoLFI,Thunderbird,4,0:01:10.777267,119.73046875,2
MoLFI,Thunderbird,4,0:01:11.259859,119.80078125,3
MoLFI,Thunderbird,4,0:01:11.285662,119.6796875,4
MoLFI,Thunderbird,4,0:01:10.748670,119.75,5
MoLFI,Thunderbird,4,0:01:10.120835,119.84765625,6
MoLFI,Thunderbird,4,0:01:10.707506,120.171875,7
MoLFI,Thunderbird,4,0:01:10.693753,120.4140625,8
MoLFI,Thunderbird,4,0:01:10.401774,119.87890625,9
MoLFI,Thunderbird,4,0:01:09.790069,120.1171875,10
MoLFI,Thunderbird,10,0:02:11.037856,134.3046875,1
MoLFI,Thunderbird,10,0:02:12.988849,135.18359375,2
MoLFI,Thunderbird,10,0:02:11.181451,135.02734375,3
MoLFI,Thunderbird,10,0:02:11.446472,135.55859375,4
MoLFI,Thunderbird,10,0:02:11.678285,135.10546875,5
MoLFI,Thunderbird,10,0:02:12.748777,134.03515625,6
MoLFI,Thunderbird,10,0:02:12.067222,135.41796875,7
MoLFI,Thunderbird,10,0:02:12.440736,135.5,8
MoLFI,Thunderbird,10,0:02:12.546955,134.34375,9
MoLFI,Thunderbird,10,0:02:12.544209,135.44140625,10
MoLFI,Thunderbird,20,0:03:04.613085,150.53125,1
MoLFI,Thunderbird,20,0:03:06.456779,150.84375,2
MoLFI,Thunderbird,20,0:03:08.034146,150.58203125,3
MoLFI,Thunderbird,20,0:03:01.904420,150.62890625,4
MoLFI,Thunderbird,20,0:03:04.561821,150.8125,5
MoLFI,Thunderbird,20,0:03:06.019225,150.703125,6
MoLFI,Thunderbird,20,0:03:04.279911,150.88671875,7
MoLFI,Thunderbird,20,0:03:08.230622,150.421875,8
MoLFI,Thunderbird,20,0:03:03.072034,150.76171875,9
MoLFI,Thunderbird,20,0:03:02.922754,150.625,10
MoLFI,Thunderbird,50,0:07:14.714371,217.40625,1
MoLFI,Thunderbird,50,0:07:10.633467,217.703125,2
MoLFI,Thunderbird,50,0:07:12.943647,217.74609375,3
MoLFI,Thunderbird,50,0:07:15.451928,217.59765625,4
MoLFI,Thunderbird,50,0:07:15.270589,217.515625,5
MoLFI,Thunderbird,50,0:07:18.308955,217.66796875,6
MoLFI,Thunderbird,50,0:07:17.211186,218.0625,7
MoLFI,Thunderbird,50,0:07:16.063973,217.83984375,8
MoLFI,Thunderbird,50,0:07:12.580476,217.7109375,9
MoLFI,Thunderbird,50,0:07:24.734896,218.10546875,10
