method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
NuLog,BGL,2,1.0000,0.9995,0.9998,0.9765,1
NuLog,BGL,2,1.0000,0.9999,0.9999,0.9825,2
NuLog,BGL,2,1.0000,0.9995,0.9997,0.9685,3
NuLog,BGL,2,1.0000,1.0000,1.0000,0.9940,4
NuLog,BGL,2,1.0000,0.9996,0.9998,0.9765,5
NuLog,BGL,2,1.0000,0.9996,0.9998,0.9775,6
NuLog,BGL,2,0.9999,1.0000,0.9999,0.9850,7
NuLog,BGL,2,1.0000,0.9996,0.9998,0.9800,8
NuLog,BGL,2,1.0000,0.9994,0.9997,0.9710,9
NuLog,BGL,2,1.0000,0.9995,0.9997,0.9730,10
