method,dataset,log_size,elapsed_time,peak_memory,iteration_no
NuLog,BGL,1,0:00:18.403713,3309.6796875,1
NuLog,BGL,1,0:00:19.290679,3307.79296875,2
NuLog,BGL,1,0:00:18.659774,3297.6484375,3
NuLog,BGL,1,0:00:18.903267,3326.43359375,4
NuLog,BGL,1,0:00:18.943298,3321.296875,5
NuLog,BGL,1,0:00:18.815285,3322.125,6
NuLog,BGL,1,0:00:19.561089,3299.984375,7
NuLog,BGL,1,0:00:19.169762,3328.2578125,8
NuLog,BGL,1,0:00:18.858540,3294.22265625,9
NuLog,BGL,1,0:00:19.219887,3318.20703125,10
NuLog,BGL,2,0:00:34.586607,3359.1015625,1
NuLog,BGL,2,0:00:34.951822,3363.66796875,2
NuLog,BGL,2,0:00:35.667659,3360.40625,3
NuLog,BGL,2,0:00:35.250291,3368.30859375,4
NuLog,BGL,2,0:00:35.522007,3366.390625,5
NuLog,BGL,2,0:00:35.406857,3365.859375,6
NuLog,BGL,2,0:00:35.469644,3360.54296875,7
NuLog,BGL,2,0:00:36.050050,3359.82421875,8
NuLog,BGL,2,0:00:35.242468,3362.77734375,9
NuLog,BGL,2,0:00:36.548643,3360.00390625,10
NuLog,BGL,4,0:01:05.463663,3332.76953125,1
NuLog,BGL,4,0:01:04.610446,3325.72265625,2
NuLog,BGL,4,0:01:05.929920,3332.015625,3
NuLog,BGL,4,0:01:04.423324,3344.05859375,4
NuLog,BGL,4,0:01:05.327081,3315.33203125,5
NuLog,BGL,4,0:01:05.060010,3311.21484375,6
NuLog,BGL,4,0:01:04.945155,3323.765625,7
NuLog,BGL,4,0:01:04.015121,3333.390625,8
NuLog,BGL,4,0:01:03.349952,3336.25390625,9
NuLog,BGL,4,0:01:06.266754,3307.19140625,10
NuLog,BGL,10,0:02:30.520997,3334.1640625,1
NuLog,BGL,10,0:02:31.467308,3341.6640625,2
NuLog,BGL,10,0:02:27.358611,3360.47265625,3
NuLog,BGL,10,0:02:35.669262,3345.4453125,4
NuLog,BGL,10,0:02:30.713748,3357.56640625,5
NuLog,BGL,10,0:02:27.409000,3334.79296875,6
NuLog,BGL,10,0:02:32.286187,3334.9453125,7
NuLog,BGL,10,0:02:31.212610,3336.0390625,8
NuLog,BGL,10,0:02:31.127441,3336.27734375,9
NuLog,BGL,10,0:02:27.849190,3355.7265625,10
NuLog,BGL,20,0:06:40.077760,3427.58203125,1
NuLog,BGL,20,0:06:40.544277,3422.5234375,2
NuLog,BGL,20,0:06:52.815379,3432.6875,3
NuLog,BGL,20,0:06:51.931374,3408.2421875,4
NuLog,BGL,20,0:06:53.267264,3411.515625,5
NuLog,BGL,20,0:06:48.985712,3423.52734375,6
NuLog,BGL,20,0:06:44.973740,3405.0390625,7
NuLog,BGL,20,0:06:37.693655,3423.69921875,8
NuLog,BGL,20,0:06:42.010613,3409.24609375,9
NuLog,BGL,20,0:06:38.499727,3428.12109375,10
NuLog,BGL,50,0:14:59.704942,3546.875,1
NuLog,BGL,50,0:12:33.475791,3555.53125,2
NuLog,BGL,50,0:12:26.735289,3547.45703125,3
NuLog,BGL,50,0:12:37.418976,3552.36328125,4
NuLog,BGL,50,0:12:39.741962,3529.10546875,5
NuLog,BGL,50,0:12:33.303566,3548.6875,6
NuLog,BGL,50,0:12:32.488172,3543.87890625,7
NuLog,BGL,50,0:12:34.862946,3537.234375,8
NuLog,BGL,50,0:12:33.264222,3550.4375,9
NuLog,BGL,50,0:12:31.244114,3527.49609375,10
NuLog,BGL,100,0:25:08.992696,3742.96484375,1
NuLog,BGL,100,0:25:11.781552,3728.59765625,2
NuLog,BGL,100,0:25:11.495600,3733.33203125,3
NuLog,BGL,100,0:25:10.706606,3725.73828125,4
NuLog,BGL,100,0:25:22.505098,3738.76953125,5
NuLog,BGL,100,0:25:18.570663,3755.87890625,6
NuLog,BGL,100,0:25:16.692059,3739.609375,7
NuLog,BGL,100,0:25:27.148974,3733.72265625,8
NuLog,BGL,100,0:25:16.037913,3722.3359375,9
NuLog,BGL,100,0:25:20.709821,3732.953125,10
NuLog,BGL,200,0:57:49.670148,4144.96875,1
NuLog,BGL,200,0:57:40.499315,4154.93359375,2
NuLog,BGL,200,0:58:00.022683,4182.8125,3
NuLog,BGL,200,0:59:05.316837,4135.32421875,4
NuLog,BGL,200,0:59:11.139657,4148.53515625,5
NuLog,BGL,200,0:58:38.334494,4121.6640625,6
NuLog,BGL,200,0:57:29.271618,4136.7734375,7
NuLog,BGL,200,0:58:36.258267,4148.21484375,8
NuLog,BGL,200,0:57:45.744994,4147.10546875,9
NuLog,BGL,200,0:58:51.597415,4138.671875,10
