method,dataset,log_size,elapsed_time,peak_memory,iteration_no
NuLog,Windows,1,0:00:29.805884,3327.37109375,1
NuLog,Windows,1,0:00:29.844648,3332.484375,2
NuLog,Windows,1,0:00:29.237487,3309.33203125,3
NuLog,Windows,1,0:00:29.285301,3336.71875,4
NuLog,Windows,1,0:00:29.151350,3306.48828125,5
NuLog,Windows,1,0:00:28.497413,3308.59765625,6
NuLog,Windows,1,0:00:29.053527,3303.53515625,7
NuLog,Windows,1,0:00:29.504158,3321.4375,8
NuLog,Windows,1,0:00:29.190387,3321.47265625,9
NuLog,Windows,1,0:00:29.132475,3299.27734375,10
NuLog,Windows,2,0:00:53.710339,3340.046875,1
NuLog,Windows,2,0:00:53.842242,3363.84765625,2
NuLog,Windows,2,0:00:54.560691,3337.41796875,3
NuLog,Windows,2,0:00:53.658567,3338.54296875,4
NuLog,Windows,2,0:00:54.246034,3336.9375,5
NuLog,Windows,2,0:00:54.679082,3337.875,6
NuLog,Windows,2,0:00:54.323280,3341.6484375,7
NuLog,Windows,2,0:00:54.274049,3341.98828125,8
NuLog,Windows,2,0:00:54.025419,3338.12109375,9
NuLog,Windows,2,0:00:54.559837,3340.2109375,10
NuLog,Windows,4,0:01:48.430777,3337.7265625,1
NuLog,Windows,4,0:01:48.614934,3353.88671875,2
NuLog,Windows,4,0:01:49.469796,3330.2890625,3
NuLog,Windows,4,0:01:48.445188,3323.1875,4
NuLog,Windows,4,0:01:49.473702,3332.3984375,5
NuLog,Windows,4,0:01:48.094171,3335.56640625,6
NuLog,Windows,4,0:01:47.998014,3341.26171875,7
NuLog,Windows,4,0:01:49.702015,3331.796875,8
NuLog,Windows,4,0:01:50.070769,3337.84375,9
NuLog,Windows,4,0:01:49.925813,3340.84765625,10
NuLog,Windows,10,0:04:48.883946,3365.68359375,1
NuLog,Windows,10,0:04:51.364686,3360.50390625,2
NuLog,Windows,10,0:04:47.034228,3364.671875,3
NuLog,Windows,10,0:04:44.442530,3361.44140625,4
NuLog,Windows,10,0:04:44.163914,3373.12109375,5
NuLog,Windows,10,0:04:47.848728,3365.15625,6
NuLog,Windows,10,0:04:46.001569,3367.5546875,7
NuLog,Windows,10,0:04:46.537849,3343.0078125,8
NuLog,Windows,10,0:04:44.044001,3350.71875,9
NuLog,Windows,10,0:04:45.682036,3370.5859375,10
NuLog,Windows,20,0:10:55.349146,3409.89453125,1
NuLog,Windows,20,0:10:54.103224,3419.53125,2
NuLog,Windows,20,0:10:49.969523,3400.57421875,3
NuLog,Windows,20,0:10:54.612546,3427.65625,4
NuLog,Windows,20,0:10:59.243622,3413.96484375,5
NuLog,Windows,20,0:10:57.467595,3403.0625,6
NuLog,Windows,20,0:11:01.075889,3405.109375,7
NuLog,Windows,20,0:10:49.510648,3408.7890625,8
NuLog,Windows,20,0:10:56.933975,3429.9453125,9
NuLog,Windows,20,0:10:56.628790,3425.5,10
NuLog,Windows,50,0:33:34.903939,3598.9921875,1
NuLog,Windows,50,0:33:44.371128,3572.140625,2
NuLog,Windows,50,0:33:48.363481,3578.3203125,3
NuLog,Windows,50,0:33:44.114122,3579.33984375,4
NuLog,Windows,50,0:33:47.539214,3585.2734375,5
NuLog,Windows,50,0:33:42.308723,3595.921875,6
NuLog,Windows,50,0:33:30.106019,3603.66015625,7
NuLog,Windows,100,1:11:56.207427,3865.484375,1
NuLog,Windows,100,1:12:05.648266,3848.43359375,2
NuLog,Windows,100,1:11:10.231808,3863.84375,3
NuLog,Windows,100,1:11:53.771996,3857.921875,4
NuLog,Windows,100,1:11:20.373072,3849.07421875,5
NuLog,Windows,100,1:11:09.980981,3832.12890625,6
NuLog,Windows,100,1:11:35.416372,3854.47265625,7
NuLog,Windows,100,1:11:34.611841,3859.87109375,8
NuLog,Windows,100,1:11:19.694094,3840.78515625,9
NuLog,Windows,100,1:11:26.179994,3831.76171875,10
