method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,1
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,2
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,3
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,4
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,5
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,6
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,7
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,8
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,9
SHISO,BGL,2,0.9961,0.9928,0.9944,0.7110,10
