method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SHISO,HDFS,1,0:00:00.558885,126.56640625,1
SHISO,HDFS,1,0:00:00.585437,126.62109375,2
SHISO,HDFS,1,0:00:00.576598,126.44140625,3
SHISO,HDFS,1,0:00:00.565012,126.54296875,4
SHISO,HDFS,1,0:00:00.584617,126.8046875,5
SHISO,HDFS,1,0:00:00.578604,126.265625,6
SHISO,HDFS,1,0:00:00.579113,126.6875,7
SHISO,HDFS,1,0:00:00.578503,127.0625,8
SHISO,HDFS,1,0:00:00.577037,126.58203125,9
SHISO,HDFS,1,0:00:00.570705,126.3984375,10
SHISO,HDFS,2,0:00:01.303790,127.61328125,1
SHISO,HDFS,2,0:00:01.304272,128.0390625,2
SHISO,HDFS,2,0:00:01.311176,127.640625,3
SHISO,HDFS,2,0:00:01.323540,127.37109375,4
SHISO,HDFS,2,0:00:01.313668,127.828125,5
SHISO,HDFS,2,0:00:01.313524,127.484375,6
SHISO,HDFS,2,0:00:01.311678,127.6015625,7
SHISO,HDFS,2,0:00:01.309555,127.71484375,8
SHISO,HDFS,2,0:00:01.295071,127.56640625,9
SHISO,HDFS,2,0:00:01.325839,128.1015625,10
SHISO,HDFS,4,0:00:01.913968,128.81640625,1
SHISO,HDFS,4,0:00:01.914959,128.828125,2
SHISO,HDFS,4,0:00:01.917301,128.89453125,3
SHISO,HDFS,4,0:00:01.929270,128.5,4
SHISO,HDFS,4,0:00:01.958374,128.86328125,5
SHISO,HDFS,4,0:00:01.915919,128.953125,6
SHISO,HDFS,4,0:00:01.923490,128.3828125,7
SHISO,HDFS,4,0:00:01.935495,128.6796875,8
SHISO,HDFS,4,0:00:01.920258,128.89453125,9
SHISO,HDFS,4,0:00:01.951301,128.44921875,10
SHISO,HDFS,10,0:00:05.066364,132.8671875,1
SHISO,HDFS,10,0:00:05.052686,132.875,2
SHISO,HDFS,10,0:00:05.135688,133.484375,3
SHISO,HDFS,10,0:00:05.095308,131.796875,4
SHISO,HDFS,10,0:00:05.093969,131.84765625,5
SHISO,HDFS,10,0:00:05.112099,131.921875,6
SHISO,HDFS,10,0:00:05.014493,131.7890625,7
SHISO,HDFS,10,0:00:05.069027,133.08984375,8
SHISO,HDFS,10,0:00:05.086787,131.82421875,9
SHISO,HDFS,10,0:00:05.041729,133.30078125,10
SHISO,HDFS,20,0:00:10.269652,140.19921875,1
SHISO,HDFS,20,0:00:10.288102,140.23046875,2
SHISO,HDFS,20,0:00:10.529474,140.578125,3
SHISO,HDFS,20,0:00:10.313054,140.88671875,4
SHISO,HDFS,20,0:00:10.470467,140.89453125,5
SHISO,HDFS,20,0:00:10.295023,140.3125,6
SHISO,HDFS,20,0:00:10.382494,140.8046875,7
SHISO,HDFS,20,0:00:10.327206,140.140625,8
SHISO,HDFS,20,0:00:10.358801,140.890625,9
SHISO,HDFS,20,0:00:10.186847,140.5703125,10
SHISO,HDFS,50,0:00:25.828487,161.71875,1
SHISO,HDFS,50,0:00:25.968726,161.71484375,2
SHISO,HDFS,50,0:00:25.667643,162.1796875,3
SHISO,HDFS,50,0:00:25.772287,161.60546875,4
SHISO,HDFS,50,0:00:25.585359,161.546875,5
SHISO,HDFS,50,0:00:25.735518,161.671875,6
SHISO,HDFS,50,0:00:26.043514,161.515625,7
SHISO,HDFS,50,0:00:25.544727,162.12890625,8
SHISO,HDFS,50,0:00:25.739062,161.6015625,9
SHISO,HDFS,50,0:00:25.862355,161.71875,10
SHISO,HDFS,100,0:00:51.237405,202.66015625,1
SHISO,HDFS,100,0:00:51.556202,202.328125,2
SHISO,HDFS,100,0:00:51.813590,197.01953125,3
SHISO,HDFS,100,0:00:51.912670,197.58203125,4
SHISO,HDFS,100,0:00:52.000437,196.85546875,5
SHISO,HDFS,100,0:00:51.825767,196.90234375,6
SHISO,HDFS,100,0:00:51.604785,196.96875,7
SHISO,HDFS,100,0:00:51.804923,197.5078125,8
SHISO,HDFS,100,0:00:51.909241,202.2265625,9
SHISO,HDFS,100,0:00:51.896942,202.82421875,10
SHISO,HDFS,200,0:01:43.781790,279.140625,1
SHISO,HDFS,200,0:01:43.141553,279.10546875,2
SHISO,HDFS,200,0:01:43.571953,279.03515625,3
SHISO,HDFS,200,0:01:44.239207,279.65234375,4
SHISO,HDFS,200,0:01:42.273772,278.84375,5
SHISO,HDFS,200,0:01:43.261343,279.0625,6
SHISO,HDFS,200,0:01:44.052221,279.29296875,7
SHISO,HDFS,200,0:01:43.141249,279.12109375,8
SHISO,HDFS,200,0:01:42.821255,278.984375,9
SHISO,HDFS,200,0:01:43.937792,279.234375,10
SHISO,HDFS,300,0:02:34.019412,339.87109375,1
SHISO,HDFS,300,0:02:34.303263,340.10546875,2
SHISO,HDFS,300,0:02:35.178608,339.734375,3
SHISO,HDFS,300,0:02:34.216310,339.7265625,4
SHISO,HDFS,300,0:02:34.010304,339.7890625,5
SHISO,HDFS,300,0:02:33.906486,344.25,6
SHISO,HDFS,300,0:02:35.761450,340.109375,7
SHISO,HDFS,300,0:02:38.391487,340.3984375,8
SHISO,HDFS,300,0:02:34.173519,339.49609375,9
SHISO,HDFS,300,0:02:34.664070,339.93359375,10
SHISO,HDFS,500,0:04:54.706447,509.58984375,1
SHISO,HDFS,500,0:04:57.872522,508.9609375,2
SHISO,HDFS,500,0:04:51.304186,508.8828125,3
SHISO,HDFS,500,0:04:50.017842,508.83984375,4
SHISO,HDFS,500,0:04:54.999025,508.64453125,5
SHISO,HDFS,500,0:04:52.012048,508.95703125,6
SHISO,HDFS,500,0:04:50.177653,508.57421875,7
SHISO,HDFS,500,0:04:52.087964,509.1796875,8
SHISO,HDFS,500,0:04:49.694465,508.56640625,9
SHISO,HDFS,500,0:04:50.912363,509.17578125,10
SHISO,HDFS,1000,0:11:42.373176,855.859375,1
SHISO,HDFS,1000,0:11:33.284124,856.45703125,2
SHISO,HDFS,1000,0:11:40.004372,856.265625,3
SHISO,HDFS,1000,0:11:42.036309,893.10546875,4
SHISO,HDFS,1000,0:11:43.072314,856.9765625,5
SHISO,HDFS,1000,0:11:49.603156,856.97265625,6
SHISO,HDFS,1000,0:11:48.617877,893.15625,7
SHISO,HDFS,1000,0:11:42.959946,893.0390625,8
SHISO,HDFS,1000,0:11:42.111530,892.74609375,9
SHISO,HDFS,1000,0:11:40.194136,855.8828125,10
