method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,1
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,2
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,3
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,4
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,5
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,6
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,7
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,8
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,9
SHISO,OpenSSH,2,0.9980,0.9973,0.9976,0.6190,10
