method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,1
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,2
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,3
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,4
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,5
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,6
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,7
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,8
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,9
SHISO,Windows,2,1.0000,0.8399,0.9130,0.7005,10
