method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SLCT,HDFS,1,0:00:00.651385,89.55859375,1
SLCT,HDFS,1,0:00:00.501977,89.51171875,2
SLCT,HDFS,1,0:00:00.505472,89.453125,3
SLCT,HDFS,1,0:00:00.505988,89.44921875,4
SLCT,HDFS,1,0:00:00.509944,89.55078125,5
SLCT,HDFS,1,0:00:00.510559,89.78515625,6
SLCT,HDFS,1,0:00:00.521039,89.48046875,7
SLCT,HDFS,1,0:00:00.507019,89.64453125,8
SLCT,HDFS,1,0:00:00.508521,89.76171875,9
SLCT,HDFS,1,0:00:00.509747,89.81640625,10
SLCT,HDFS,2,0:00:00.690588,90.96484375,1
SLCT,HDFS,2,0:00:00.705719,91.03125,2
SLCT,HDFS,2,0:00:00.703247,91.16796875,3
SLCT,HDFS,2,0:00:00.700906,90.82421875,4
SLCT,HDFS,2,0:00:00.693886,91.08984375,5
SLCT,HDFS,2,0:00:00.694595,90.80859375,6
SLCT,HDFS,2,0:00:00.692685,91.16796875,7
SLCT,HDFS,2,0:00:00.706032,90.8828125,8
SLCT,HDFS,2,0:00:00.703277,91.15625,9
SLCT,HDFS,2,0:00:00.699163,91.015625,10
SLCT,HDFS,4,0:00:00.978501,93.3359375,1
SLCT,HDFS,4,0:00:00.978234,93.3203125,2
SLCT,HDFS,4,0:00:00.982018,93.5,3
SLCT,HDFS,4,0:00:00.976060,93.36328125,4
SLCT,HDFS,4,0:00:00.990445,93.5078125,5
SLCT,HDFS,4,0:00:00.983152,93.35546875,6
SLCT,HDFS,4,0:00:00.973435,93.33203125,7
SLCT,HDFS,4,0:00:00.977817,93.71875,8
SLCT,HDFS,4,0:00:00.982639,93.58984375,9
SLCT,HDFS,4,0:00:00.985822,93.75390625,10
SLCT,HDFS,10,0:00:01.884933,102.96484375,1
SLCT,HDFS,10,0:00:01.858879,102.46875,2
SLCT,HDFS,10,0:00:01.906020,102.94921875,3
SLCT,HDFS,10,0:00:01.861647,102.734375,4
SLCT,HDFS,10,0:00:01.887376,102.8125,5
SLCT,HDFS,10,0:00:01.859412,102.984375,6
SLCT,HDFS,10,0:00:01.856056,102.80859375,7
SLCT,HDFS,10,0:00:01.862225,102.6640625,8
SLCT,HDFS,10,0:00:01.879916,102.61328125,9
SLCT,HDFS,10,0:00:01.891237,102.59765625,10
SLCT,HDFS,20,0:00:03.316359,117.30078125,1
SLCT,HDFS,20,0:00:03.290562,117.10546875,2
SLCT,HDFS,20,0:00:03.314987,117.1875,3
SLCT,HDFS,20,0:00:03.281498,117.3515625,4
SLCT,HDFS,20,0:00:03.297935,116.984375,5
SLCT,HDFS,20,0:00:03.281314,116.6328125,6
SLCT,HDFS,20,0:00:03.293922,117.1015625,7
SLCT,HDFS,20,0:00:03.298099,116.984375,8
SLCT,HDFS,20,0:00:03.290709,117.0859375,9
SLCT,HDFS,20,0:00:03.280584,117.10546875,10
SLCT,HDFS,50,0:00:07.808220,159.3671875,1
SLCT,HDFS,50,0:00:07.715500,159.4453125,2
SLCT,HDFS,50,0:00:07.786068,159.671875,3
SLCT,HDFS,50,0:00:07.781037,159.546875,4
SLCT,HDFS,50,0:00:07.766871,160.73828125,5
SLCT,HDFS,50,0:00:07.684032,159.5078125,6
SLCT,HDFS,50,0:00:07.754517,159.453125,7
SLCT,HDFS,50,0:00:07.754597,159.57421875,8
SLCT,HDFS,50,0:00:07.749313,159.42578125,9
SLCT,HDFS,50,0:00:07.710183,159.45703125,10
SLCT,HDFS,100,0:00:15.630453,230.3671875,1
SLCT,HDFS,100,0:00:15.695928,233.328125,2
SLCT,HDFS,100,0:00:15.656614,230.359375,3
SLCT,HDFS,100,0:00:15.682349,229.9609375,4
SLCT,HDFS,100,0:00:15.590705,230.0390625,5
SLCT,HDFS,100,0:00:15.616274,229.9609375,6
SLCT,HDFS,100,0:00:15.685537,232.78125,7
SLCT,HDFS,100,0:00:15.651631,230.20703125,8
SLCT,HDFS,100,0:00:15.607830,229.75390625,9
SLCT,HDFS,100,0:00:15.676928,230.234375,10
SLCT,HDFS,200,0:00:32.957484,372.83203125,1
SLCT,HDFS,200,0:00:33.072182,372.703125,2
SLCT,HDFS,200,0:00:32.958514,372.74609375,3
SLCT,HDFS,200,0:00:32.776946,373.10546875,4
SLCT,HDFS,200,0:00:32.937640,373.0703125,5
SLCT,HDFS,200,0:00:33.019031,372.76953125,6
SLCT,HDFS,200,0:00:32.755133,374.96484375,7
SLCT,HDFS,200,0:00:32.722623,372.8203125,8
SLCT,HDFS,200,0:00:32.757872,373.08203125,9
SLCT,HDFS,200,0:00:32.838045,372.796875,10
SLCT,HDFS,300,0:00:50.025080,532.40625,1
SLCT,HDFS,300,0:00:49.898479,518.69921875,2
SLCT,HDFS,300,0:00:49.723148,518.83203125,3
SLCT,HDFS,300,0:00:49.745714,518.80859375,4
SLCT,HDFS,300,0:00:50.088771,532.0625,5
SLCT,HDFS,300,0:00:50.241733,532.21484375,6
SLCT,HDFS,300,0:00:49.931223,531.8671875,7
SLCT,HDFS,300,0:00:50.327013,518.54296875,8
SLCT,HDFS,300,0:00:49.888308,531.9296875,9
SLCT,HDFS,300,0:00:49.587337,518.7890625,10
SLCT,HDFS,500,0:01:41.072904,821.10546875,1
SLCT,HDFS,500,0:01:41.577473,820.6953125,2
SLCT,HDFS,500,0:01:41.314109,816.9921875,3
SLCT,HDFS,500,0:01:40.829121,805.6171875,4
SLCT,HDFS,500,0:01:41.055612,820.75390625,5
SLCT,HDFS,500,0:01:40.945148,803.69921875,6
SLCT,HDFS,500,0:01:41.088370,820.5703125,7
SLCT,HDFS,500,0:01:40.582423,805.71484375,8
SLCT,HDFS,500,0:01:41.189508,805.60546875,9
SLCT,HDFS,500,0:01:40.885373,820.59375,10
SLCT,HDFS,1000,0:03:16.968529,1530.046875,1
SLCT,HDFS,1000,0:03:18.391518,1530.046875,2
SLCT,HDFS,1000,0:03:18.018447,1529.984375,3
SLCT,HDFS,1000,0:03:18.672937,1529.875,4
SLCT,HDFS,1000,0:03:19.522312,1530.02734375,5
SLCT,HDFS,1000,0:03:17.647210,1529.84765625,6
SLCT,HDFS,1000,0:03:18.459340,1530.171875,7
SLCT,HDFS,1000,0:03:18.918742,1530.4296875,8
SLCT,HDFS,1000,0:03:18.638528,1529.81640625,9
SLCT,HDFS,1000,0:03:19.147508,1537.875,10
