method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,1
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,2
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,3
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,4
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,5
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,6
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,7
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,8
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,9
Spell,BGL,2,0.9990,0.9182,0.9569,0.7865,10
