method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Spell,BGL,1,0:00:00.152020,88.81640625,1
Spell,BGL,1,0:00:00.155934,88.90234375,2
Spell,BGL,1,0:00:00.152872,88.765625,3
Spell,BGL,1,0:00:00.155648,88.796875,4
Spell,BGL,1,0:00:00.149532,88.71875,5
Spell,BGL,1,0:00:00.154446,89.1328125,6
Spell,BGL,1,0:00:00.150142,88.91796875,7
Spell,BGL,1,0:00:00.152549,89.1953125,8
Spell,BGL,1,0:00:00.150035,88.83203125,9
Spell,BGL,1,0:00:00.154371,88.83984375,10
Spell,BGL,2,0:00:00.624591,91.390625,1
Spell,BGL,2,0:00:00.623167,91.08984375,2
Spell,BGL,2,0:00:00.627453,91.5546875,3
Spell,BGL,2,0:00:00.617507,91.51953125,4
Spell,BGL,2,0:00:00.621494,91.22265625,5
Spell,BGL,2,0:00:00.617436,91.421875,6
Spell,BGL,2,0:00:00.621475,91.2734375,7
Spell,BGL,2,0:00:00.621598,91.3046875,8
Spell,BGL,2,0:00:00.620991,91.91015625,9
Spell,BGL,2,0:00:00.617787,91.3046875,10
Spell,BGL,4,0:00:00.512261,92.3046875,1
Spell,BGL,4,0:00:00.509823,92.796875,2
Spell,BGL,4,0:00:00.507099,92.00390625,3
Spell,BGL,4,0:00:00.508091,92.3359375,4
Spell,BGL,4,0:00:00.511186,92.671875,5
Spell,BGL,4,0:00:00.507160,92.4296875,6
Spell,BGL,4,0:00:00.510719,92.02734375,7
Spell,BGL,4,0:00:00.510024,92.3125,8
Spell,BGL,4,0:00:00.510276,92.66015625,9
Spell,BGL,4,0:00:00.506812,91.99609375,10
Spell,BGL,20,0:00:03.085332,113.20703125,1
Spell,BGL,20,0:00:03.138276,113.31640625,2
Spell,BGL,20,0:00:03.101615,113.2109375,3
Spell,BGL,20,0:00:03.095633,111.078125,4
Spell,BGL,20,0:00:03.114908,112.74609375,5
Spell,BGL,20,0:00:03.110206,111.328125,6
Spell,BGL,20,0:00:03.119908,112.8828125,7
Spell,BGL,20,0:00:03.109916,111.4453125,8
Spell,BGL,20,0:00:03.106833,113.140625,9
Spell,BGL,20,0:00:03.135450,111.1640625,10
Spell,BGL,50,0:00:07.367751,147.40625,1
Spell,BGL,50,0:00:07.532283,147.83984375,2
Spell,BGL,50,0:00:07.374000,147.390625,3
Spell,BGL,50,0:00:07.436511,147.31640625,4
Spell,BGL,50,0:00:07.453177,147.578125,5
Spell,BGL,50,0:00:07.443077,151.640625,6
Spell,BGL,50,0:00:07.474281,151.48828125,7
Spell,BGL,50,0:00:07.488621,151.53515625,8
Spell,BGL,50,0:00:07.468125,151.359375,9
Spell,BGL,50,0:00:07.442051,151.78125,10
Spell,BGL,100,0:00:14.723093,206.82421875,1
Spell,BGL,100,0:00:14.687537,206.9140625,2
Spell,BGL,100,0:00:14.598619,206.91015625,3
Spell,BGL,100,0:00:14.685132,206.8046875,4
Spell,BGL,100,0:00:14.622797,206.671875,5
Spell,BGL,100,0:00:14.759952,206.90625,6
Spell,BGL,100,0:00:14.538379,206.49609375,7
Spell,BGL,100,0:00:14.782878,207.14453125,8
Spell,BGL,100,0:00:14.712648,206.421875,9
Spell,BGL,100,0:00:14.656425,206.69921875,10
Spell,BGL,200,0:00:29.774940,342.85546875,1
Spell,BGL,200,0:00:29.323835,343.37890625,2
Spell,BGL,200,0:00:29.786082,343.1328125,3
Spell,BGL,200,0:00:29.595233,342.67578125,4
Spell,BGL,200,0:00:29.710535,343.1484375,5
Spell,BGL,200,0:00:29.777433,343.1875,6
Spell,BGL,200,0:00:29.801852,342.59765625,7
Spell,BGL,200,0:00:29.575204,343.30859375,8
Spell,BGL,200,0:00:29.692418,343.09375,9
Spell,BGL,200,0:00:29.719879,343.125,10
Spell,BGL,300,0:00:42.781175,447.5,1
Spell,BGL,300,0:00:42.824514,447.78125,2
Spell,BGL,300,0:00:42.529352,448.20703125,3
Spell,BGL,300,0:00:42.910729,447.75390625,4
Spell,BGL,300,0:00:42.610558,447.46875,5
Spell,BGL,300,0:00:42.206082,448.03515625,6
Spell,BGL,300,0:00:42.795005,447.89453125,7
Spell,BGL,300,0:00:42.789721,448.18359375,8
Spell,BGL,300,0:00:42.665051,447.765625,9
Spell,BGL,300,0:00:43.439577,448.31640625,10
