method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,1
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,2
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,3
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,4
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,5
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,6
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,7
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,8
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,9
Spell,HDFS,2,1.0000,1.0000,1.0000,1.0000,10
