method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Spell,OpenSSH,1,0:00:00.221396,88.7734375,1
Spell,OpenSSH,1,0:00:00.229154,88.8125,2
Spell,OpenSSH,1,0:00:00.226663,88.9140625,3
Spell,OpenSSH,1,0:00:00.223278,88.59375,4
Spell,OpenSSH,1,0:00:00.226031,88.38671875,5
Spell,OpenSSH,1,0:00:00.226186,88.3984375,6
Spell,OpenSSH,1,0:00:00.233599,88.61328125,7
Spell,OpenSSH,1,0:00:00.230808,88.58203125,8
Spell,OpenSSH,1,0:00:00.226435,88.49609375,9
Spell,OpenSSH,1,0:00:00.229741,88.484375,10
Spell,OpenSSH,2,0:00:00.404999,89.60546875,1
Spell,OpenSSH,2,0:00:00.395377,89.5625,2
Spell,OpenSSH,2,0:00:00.402619,89.61328125,3
Spell,OpenSSH,2,0:00:00.400103,89.83203125,4
Spell,OpenSSH,2,0:00:00.405923,89.25,5
Spell,OpenSSH,2,0:00:00.397323,89.8046875,6
Spell,OpenSSH,2,0:00:00.396884,89.58203125,7
Spell,OpenSSH,2,0:00:00.405145,89.81640625,8
Spell,OpenSSH,2,0:00:00.406667,89.45703125,9
Spell,OpenSSH,2,0:00:00.405397,89.36328125,10
Spell,OpenSSH,4,0:00:00.750093,91.65625,1
Spell,OpenSSH,4,0:00:00.754510,91.42578125,2
Spell,OpenSSH,4,0:00:00.752978,91.93359375,3
Spell,OpenSSH,4,0:00:00.756332,91.6953125,4
Spell,OpenSSH,4,0:00:00.787285,92.0078125,5
Spell,OpenSSH,4,0:00:00.761578,91.58203125,6
Spell,OpenSSH,4,0:00:00.750856,91.60546875,7
Spell,OpenSSH,4,0:00:00.756220,91.5546875,8
Spell,OpenSSH,4,0:00:00.756888,91.33203125,9
Spell,OpenSSH,4,0:00:00.754675,91.875,10
Spell,OpenSSH,20,0:00:03.612079,107.29296875,1
Spell,OpenSSH,20,0:00:03.627370,106.8671875,2
Spell,OpenSSH,20,0:00:03.611742,107.13671875,3
Spell,OpenSSH,20,0:00:03.607248,106.94921875,4
Spell,OpenSSH,20,0:00:03.599122,106.90234375,5
Spell,OpenSSH,20,0:00:03.589127,106.97265625,6
Spell,OpenSSH,20,0:00:03.602996,106.93359375,7
Spell,OpenSSH,20,0:00:03.594576,106.84765625,8
Spell,OpenSSH,20,0:00:03.578524,106.8359375,9
Spell,OpenSSH,20,0:00:03.608544,106.5703125,10
Spell,OpenSSH,50,0:00:09.038752,133.9921875,1
Spell,OpenSSH,50,0:00:09.004199,133.76171875,2
Spell,OpenSSH,50,0:00:08.946805,136.40625,3
Spell,OpenSSH,50,0:00:08.868453,133.23828125,4
Spell,OpenSSH,50,0:00:08.927384,136.3828125,5
Spell,OpenSSH,50,0:00:08.941502,133.140625,6
Spell,OpenSSH,50,0:00:08.928406,133.421875,7
Spell,OpenSSH,50,0:00:08.970222,136.38671875,8
Spell,OpenSSH,50,0:00:08.946630,133.41796875,9
Spell,OpenSSH,50,0:00:08.956268,133.3515625,10
Spell,OpenSSH,100,0:00:17.825637,183.95703125,1
Spell,OpenSSH,100,0:00:17.689938,183.6640625,2
Spell,OpenSSH,100,0:00:17.616733,183.91796875,3
Spell,OpenSSH,100,0:00:17.829083,183.5703125,4
Spell,OpenSSH,100,0:00:17.667295,184.19921875,5
Spell,OpenSSH,100,0:00:17.559275,184.125,6
Spell,OpenSSH,100,0:00:17.639157,183.66796875,7
Spell,OpenSSH,100,0:00:17.600071,183.65625,8
Spell,OpenSSH,100,0:00:17.771317,183.7578125,9
Spell,OpenSSH,100,0:00:17.553258,183.7421875,10
Spell,OpenSSH,200,0:00:35.020924,280.24609375,1
Spell,OpenSSH,200,0:00:35.388371,280.38671875,2
Spell,OpenSSH,200,0:00:34.997329,280.64453125,3
Spell,OpenSSH,200,0:00:35.558962,280.44140625,4
Spell,OpenSSH,200,0:00:35.217919,280.12890625,5
Spell,OpenSSH,200,0:00:35.073364,280.8359375,6
Spell,OpenSSH,200,0:00:35.090926,280.3671875,7
Spell,OpenSSH,200,0:00:35.130905,280.1953125,8
Spell,OpenSSH,200,0:00:35.517477,280.4296875,9
Spell,OpenSSH,200,0:00:35.306221,280.33984375,10
Spell,OpenSSH,300,0:00:53.139560,380.078125,1
Spell,OpenSSH,300,0:00:53.281620,379.6484375,2
Spell,OpenSSH,300,0:00:52.804066,379.69140625,3
Spell,OpenSSH,300,0:00:53.225691,379.61328125,4
Spell,OpenSSH,300,0:00:53.200475,380.35546875,5
Spell,OpenSSH,300,0:00:53.225404,380.23046875,6
Spell,OpenSSH,300,0:00:52.787202,380.26171875,7
Spell,OpenSSH,300,0:00:52.930832,379.5078125,8
Spell,OpenSSH,300,0:00:53.432406,380.28125,9
Spell,OpenSSH,300,0:00:53.587284,380.28515625,10
Spell,OpenSSH,500,0:01:29.850627,538.52734375,1
Spell,OpenSSH,500,0:01:28.943657,564.81640625,2
Spell,OpenSSH,500,0:01:29.891806,564.84765625,3
Spell,OpenSSH,500,0:01:29.078915,565.203125,4
Spell,OpenSSH,500,0:01:29.839534,564.96484375,5
Spell,OpenSSH,500,0:01:29.050771,564.71484375,6
Spell,OpenSSH,500,0:01:29.293436,564.984375,7
Spell,OpenSSH,500,0:01:29.460312,564.8828125,8
Spell,OpenSSH,500,0:01:30.512484,564.6640625,9
Spell,OpenSSH,500,0:01:29.866227,564.86328125,10
