method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Spell,Android,1,0:00:00.537723,89.99609375,1
Spell,Android,1,0:00:00.533320,90.01171875,2
Spell,Android,1,0:00:00.543341,90.2890625,3
Spell,Android,1,0:00:00.536339,90.43359375,4
Spell,Android,1,0:00:00.535704,90.29296875,5
Spell,Android,1,0:00:00.547231,90.53125,6
Spell,Android,1,0:00:00.535560,89.92578125,7
Spell,Android,1,0:00:00.536552,89.984375,8
Spell,Android,1,0:00:00.536837,90.5625,9
Spell,Android,1,0:00:00.539948,90.48828125,10
Spell,Android,2,0:00:00.981980,90.96875,1
Spell,Android,2,0:00:00.978080,91.109375,2
Spell,Android,2,0:00:00.973833,91.31640625,3
Spell,Android,2,0:00:00.971840,91.046875,4
Spell,Android,2,0:00:00.973203,91.015625,5
Spell,Android,2,0:00:00.975559,90.78125,6
Spell,Android,2,0:00:00.980196,91.0859375,7
Spell,Android,2,0:00:00.986285,91.4296875,8
Spell,Android,2,0:00:00.974547,91.01953125,9
Spell,Android,2,0:00:00.979211,91.40234375,10
Spell,Android,4,0:00:01.820264,93.41015625,1
Spell,Android,4,0:00:01.833582,93.359375,2
Spell,Android,4,0:00:01.824737,93.3203125,3
Spell,Android,4,0:00:01.832759,93.3203125,4
Spell,Android,4,0:00:01.813164,93.63671875,5
Spell,Android,4,0:00:01.818661,93.30859375,6
Spell,Android,4,0:00:01.826207,93.27734375,7
Spell,Android,4,0:00:01.830710,93.44140625,8
Spell,Android,4,0:00:01.825993,93.4375,9
Spell,Android,4,0:00:01.825260,93.73828125,10
Spell,Android,10,0:00:04.540426,99.26953125,1
Spell,Android,10,0:00:04.507395,99.5546875,2
Spell,Android,10,0:00:04.544445,99.3203125,3
Spell,Android,10,0:00:04.523737,98.96875,4
Spell,Android,10,0:00:04.510400,99.609375,5
Spell,Android,10,0:00:04.514292,99.66796875,6
Spell,Android,10,0:00:04.498419,99.234375,7
Spell,Android,10,0:00:04.509206,99.234375,8
Spell,Android,10,0:00:04.513036,99.546875,9
Spell,Android,10,0:00:04.511894,99.6484375,10
Spell,Android,20,0:00:08.953419,110.11328125,1
Spell,Android,20,0:00:08.949296,109.8125,2
Spell,Android,20,0:00:08.995614,110.125,3
Spell,Android,20,0:00:08.919197,110.234375,4
Spell,Android,20,0:00:09.004115,110.14453125,5
Spell,Android,20,0:00:09.009620,109.87890625,6
Spell,Android,20,0:00:08.949239,109.57421875,7
Spell,Android,20,0:00:08.976761,110.2421875,8
Spell,Android,20,0:00:09.000008,110.23828125,9
Spell,Android,20,0:00:09.041384,109.8125,10

Spell,HDFS,1,0:00:00.201840,89.2421875,1
Spell,HDFS,1,0:00:00.203251,89.53125,2
Spell,HDFS,1,0:00:00.202183,89.22265625,3
Spell,HDFS,1,0:00:00.204361,89.19921875,4
Spell,HDFS,1,0:00:00.200367,89.53515625,5
Spell,HDFS,1,0:00:00.200340,0.0,6
Spell,HDFS,1,0:00:00.180578,89.4140625,6
Spell,HDFS,1,0:00:00.203537,89.296875,7
Spell,HDFS,1,0:00:00.202987,89.4921875,8
Spell,HDFS,1,0:00:00.203831,88.9140625,9
